Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 3391/2019;Altera a Lei n. 8.080, de 19 de setembro de 1990, que dispõe sobre as condições para a promoção, proteção e recuperação da saúde, para dispor sobre a prioridade na assistência psicológica às mulheres que sofreram aborto espontâneo, nos casos permitidos em Lei ou na ocorrência de óbito perinatal;;Fábio Faria;RN;PSD;06/06/2019;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=2207082
PL 1545/2011;Inclui art. 128-A no Decreto-Lei nº 2.848, de 07 de dezembro de 1940.;Tipifica o crime de aborto praticado por médico quando não for os tipos admitidos no Código Penal: necessário ou quando a gravidez resultante de estupro (sentimental).;Eduardo Cunha;RJ;PMDB;08/06/2011;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=507573
RIC 675/2020;"Requer do Ministro da Saúde informações referentes às denúncias de assédio e perseguição ideológica contra os servidores do Ministério por meio do monitoramento de suas redes sociais e outras condutas da esfera privada, além de ameaças relacionadas à divulgação de informações relacionadas ao Gabinete do Ministro; Requer, também, informações sobre a designação de empresário para intermediar negociações em nome do Ministério.";;Fernanda Melchionna;RS;PSOL;18/06/2020;"Aguardando Remessa ao Arquivo;Aguardando Deliberação";/proposicoesWeb/fichadetramitacao?idProposicao=2255613
PL 2893/2019;Revoga o art. 128 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal).;Revoga dispositivo que trata do aborto necessário e do aborto em caso de estupro.;"Chris Tonietto;Filipe Barros";"RJ;PR";"PSL;PSL";15/05/2019;Aguardando Pendências;/proposicoesWeb/fichadetramitacao?idProposicao=2203415
PL 7633/2014;Dispõe sobre a humanização da assistência à mulher e ao neonato durante o ciclo gravídico-puerperal e dá outras providências.;;Jean Wyllys;RJ;PSOL;29/05/2014;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=617546
PL 119/2019;"Inclui a alínea ""e"" no inciso I no art. 6º da Lei nº 8.080, de 19 de setembro de 1990, para ampliar a atuação do Sistema Único de Saúde na saúde integral da Mulher.";Amplia a atuação do SUS na saúde integral da Mulher.;Renata Abreu;SP;PODE;04/02/2019;Aguardando Designação de Relator;/proposicoesWeb/fichadetramitacao?idProposicao=2190579
PL 1085/2011;Dispõe sobre a assistência para a mulher vítima de estupro que vier a optar por realizar aborto legal.;Concede bolsa-auxílio à mulher que engravidar em decorrência de estupro e optar por realizar aborto legal ou que sofrer aborto espontâneo.;Cleber Verde;MA;PRB;14/04/2011;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=498623
PRL 5 CSSF => PL 8363/2017;Parecer da Relatora, Dep. Benedita da Silva (PT-RJ), pela aprovação do PL 8363/2017 e pela aprovação parcial da Emenda nº 4 ao Substitutivo na forma do Substitutivo e pela rejeição das Emendas nº 01, 02, 03 e 05 ao Substitutivo.;;Benedita da Silva;RJ;PT;30/10/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2227530
