Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 5069/2013;Acrescenta o art. 127-A ao Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal.;Tipifica como crime contra a vida o anúncio de meio abortivo e prevê penas específicas para quem induz a gestante à prática de aborto.;"Eduardo Cunha;Isaias Silvestre;João Dado;Andre Moura;Arolde de Oliveira;Padre Ton;Arnaldo Faria de Sá;Aureo;Lincoln Portela;João Campos;Roberto de Lucena;Marcos Rogério;José Linhares";"RJ;MG;SP;SE;RJ;RO;SP;RJ;MG;GO;SP;RO;CE";"PMDB;PSB;PDT;PSC;PSD;PT;PTB;PRTB;PR;PSDB;PV;PDT;PP";27/02/2013;Pronta para Pauta;/proposicoesWeb/fichadetramitacao?idProposicao=565882
PRL 4 CSSF => PL 6022/2013;Parecer do Relator, Dep. Jorge Solla (PT-BA), pela aprovação deste, e dos PLs 8.931/2017, 2.398/2019, 2.916/2019, e 1.590/2019, apensados, com substitutivo, e pela rejeição dos PLs 6.033/2013, 6.061/2013, e 6.055/2013, apensados e das Emendas 1, 2 e 3.;;Jorge Solla;BA;PT;24/10/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2227081
PL 6061/2013;"Altera a Lei nº 12.845, de 1º de agosto de 2013, que ""Dispõe sobre o atendimento obrigatório e integral de pessoas em situação de violência sexual"" e dá outras providências.";;Hugo Leal;RJ;PSC;08/08/2013;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=586481
SBT 1 CSSF => PL 6022/2013;Altera a Lei nº 12.845, de 1º de agosto de 2013, que dispõe sobre o atendimento obrigatório e integral de pessoas em situação de violência sexual.;;Jorge Solla;BA;PT;03/05/2018;;/proposicoesWeb/fichadetramitacao?idProposicao=2173892
PRL 3 CSSF => PL 6022/2013;Parecer do Relator, Dep. Jorge Solla (PT-BA), pela aprovação deste, e do PL 8931/2017, apensado, com substitutivo, e pela rejeição da Emenda 1/2013 da CSSF, da Emenda 2/2013 da CSSF, da Emenda 3/2013 da CSSF, do PL 6033/2013, do PL 6061/2013, e do PL 6055/2013, apensados.;;Jorge Solla;BA;PT;03/05/2018;;/proposicoesWeb/fichadetramitacao?idProposicao=2173808
EMC 3/2013 CSSF => PL 6022/2013;"""Emenda ao PL 6.022/2013, que Altera a Lei nº 12.845, de 1º de agosto de 2013, que dispõe sobre o atendimento obrigatório e integral de pessoas em situação de violência sexual.""";;João Campos;GO;PSDB;01/10/2013;;/proposicoesWeb/fichadetramitacao?idProposicao=594239
SBT 1 CCJC => PL 5069/2013;O Congresso Nacional;;Leonardo Picciani;RJ;PMDB;04/09/2013;;/proposicoesWeb/fichadetramitacao?idProposicao=590555
PRL 1 CCJC => PL 5069/2013;Parecer do Relator, Dep. Leonardo Picciani (PMDB-RJ), pela constitucionalidade, juridicidade, técnica legislativa e, no mérito, pela aprovação, com substitutivo.;;Leonardo Picciani;RJ;PMDB;04/09/2013;;/proposicoesWeb/fichadetramitacao?idProposicao=590553
