Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 3391/2019;Altera a Lei n. 8.080, de 19 de setembro de 1990, que dispõe sobre as condições para a promoção, proteção e recuperação da saúde, para dispor sobre a prioridade na assistência psicológica às mulheres que sofreram aborto espontâneo, nos casos permitidos em Lei ou na ocorrência de óbito perinatal;;Fábio Faria;RN;PSD;06/06/2019;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=2207082
PL 2893/2019;Revoga o art. 128 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal).;Revoga dispositivo que trata do aborto necessário e do aborto em caso de estupro.;"Chris Tonietto;Filipe Barros";"RJ;PR";"PSL;PSL";15/05/2019;Aguardando Pendências;/proposicoesWeb/fichadetramitacao?idProposicao=2203415
PL 1085/2011;Dispõe sobre a assistência para a mulher vítima de estupro que vier a optar por realizar aborto legal.;Concede bolsa-auxílio à mulher que engravidar em decorrência de estupro e optar por realizar aborto legal ou que sofrer aborto espontâneo.;Cleber Verde;MA;PRB;14/04/2011;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=498623
PL 9696/2018;Altera a Lei nº 8.213, de 24 de julho de 1991 e o Decreto-Lei nº 5.452, de 1º de maio de 1943 para dispor sobre a licença maternidade em caso de natimorto ou de aborto não criminoso.;;José Guimarães;CE;PT;06/03/2018;"Tramitando em Conjunto;Tramitando em Conjunto;Tramitando em Conjunto";/proposicoesWeb/fichadetramitacao?idProposicao=2168783
REL 1/2019 SUBMULH;Relatório da Subcomissão Especial de Seguridade da Mulher na Comissão de Seguridade Social e Família.;;Marília Arraes;PE;PT;05/11/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2228353
PRL 1 CSSF => PL 978/2019;Parecer da Relatora, Dep. Erika Kokay (PT-DF), pela aprovação.;;Erika Kokay;DF;PT;29/10/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2227333
PL 1522/2015;Altera o art. 395 da Consolidação das Leis do Trabalho - CLT, para assegurar a garantia de emprego contra dispensa arbitrária ou sem justa causa à trabalhadora em caso de aborto não criminoso.;Altera o Decreto-lei nº 5.452, de 1943.;Luciano Ducci;PR;PSB;13/05/2015;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=1266746
PL 3649/2019;Estabelece aos hospitais públicos e privados instituírem procedimentos relacionados a humanização do luto materno e parental.;Altera a Lei nº 8.069, de 1990 e a Lei nº 6.015, de 1973.;Carmen Zanotto;SC;CIDADANIA;19/06/2019;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2208715
PL 6405/2016;Inscreve os nomes de D. Maria Leopoldina e D. Isabel Christina Leopoldina Augusta no Livro dos Heróis e Heroínas da Pátria.;;DEFESA DOS DIREITOS DA MULHER;;;25/10/2016;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=2115459
