Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 8363/2017;Dispõe sobre o exercício profissional da atividade de Doula e dá outras providências.;;Erika Kokay;DF;PT;23/08/2017;Aguardando Designação de Relator;/proposicoesWeb/fichadetramitacao?idProposicao=2148936
PL 2893/2019;Revoga o art. 128 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal).;Revoga dispositivo que trata do aborto necessário e do aborto em caso de estupro.;"Chris Tonietto;Filipe Barros";"RJ;PR";"PSL;PSL";15/05/2019;Aguardando Pendências;/proposicoesWeb/fichadetramitacao?idProposicao=2203415
PDL 251/2020;"Susta os efeitos da Nota Técnica nº 16/2020- COSMU/CGCIVI/DAPES/SAPS/MS, do Ministério da Saúde, a qual tem como referência o ""acesso à saúde sexual e saúde reprodutiva no contexto da pandemia da COVID-19"".";;Dr. Jaziel;CE;PL;04/06/2020;Aguardando Autorização Devolução;/proposicoesWeb/fichadetramitacao?idProposicao=2254498
REQ 1469/2020;Requer o comparecimento do Sr. Eduardo Pazuello, Ministro interino da Saúde, para prestar esclarecimentos acerca dos motivos da exoneração do corpo técnico da Coordenação de Saúde das Mulheres, da Coordenação-Geral de Ciclos da Vida e da revogação da nota técnica 16/2020 .COSMU/CGCIVI/DAPES/SAPS/MS, que visava garantir o acesso à saúde sexual e saúde reprodutiva em tempos da pandemia da COVID-19.;;"Fernanda Melchionna ;Edmilson Rodrigues ;Sâmia Bomfim ;David Miranda ;Áurea Carolina ;Ivan Valente ;Marcelo Freixo ;Luiza Erundina ;Glauber Braga";"RS;PA;SP;RJ;MG;SP;RJ;SP;RJ";"PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL";08/06/2020;Aguardando Despacho do Presidente da Câmara dos Deputados;/proposicoesWeb/fichadetramitacao?idProposicao=2254773
PL 1085/2011;Dispõe sobre a assistência para a mulher vítima de estupro que vier a optar por realizar aborto legal.;Concede bolsa-auxílio à mulher que engravidar em decorrência de estupro e optar por realizar aborto legal ou que sofrer aborto espontâneo.;Cleber Verde;MA;PRB;14/04/2011;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=498623
PL 9696/2018;Altera a Lei nº 8.213, de 24 de julho de 1991 e o Decreto-Lei nº 5.452, de 1º de maio de 1943 para dispor sobre a licença maternidade em caso de natimorto ou de aborto não criminoso.;;José Guimarães;CE;PT;06/03/2018;"Tramitando em Conjunto;Tramitando em Conjunto;Tramitando em Conjunto";/proposicoesWeb/fichadetramitacao?idProposicao=2168783
PRL 5 CSSF => PL 8363/2017;Parecer da Relatora, Dep. Benedita da Silva (PT-RJ), pela aprovação do PL 8363/2017 e pela aprovação parcial da Emenda nº 4 ao Substitutivo na forma do Substitutivo e pela rejeição das Emendas nº 01, 02, 03 e 05 ao Substitutivo.;;Benedita da Silva;RJ;PT;30/10/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2227530
PL 4642/2016;Dispõe sobre a prevenção e conscientização dos riscos e consequências relacionados ao aborto.;;Flavinho;SP;PSB;08/03/2016;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=2078898
