Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 3391/2019;Altera a Lei n. 8.080, de 19 de setembro de 1990, que dispõe sobre as condições para a promoção, proteção e recuperação da saúde, para dispor sobre a prioridade na assistência psicológica às mulheres que sofreram aborto espontâneo, nos casos permitidos em Lei ou na ocorrência de óbito perinatal;;Fábio Faria;RN;PSD;06/06/2019;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=2207082
PL 3553/2020;Institui diretrizes para serviços de proteção e atendimento especializado a gestantes dependentes químicas a serem criados no âmbito da Proteção Especial da Assistência Social, e dá outras providências .;;Marreca Filho;MA;PATRIOTA;30/06/2020;Aguardando Despacho do Presidente da Câmara dos Deputados;/proposicoesWeb/fichadetramitacao?idProposicao=2256414
PL 1009/2019;Altera o Decreto-Lei nº 2.848, de 1940.;;Capitão Augusto;SP;PR;21/02/2019;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2192659
PL 3050/2011;Altera o §2º do art. 10 da Lei 9.263, de 12 de janeiro de 1996, que trata do planejamento familiar, de forma a permitir a realização da laqueadura tubárea nos períodos de parto ou aborto em caso de cesária anterior.;;Aguinaldo Ribeiro;PB;PP;21/12/2011;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=533044
PL 5069/2013;Acrescenta o art. 127-A ao Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal.;Tipifica como crime contra a vida o anúncio de meio abortivo e prevê penas específicas para quem induz a gestante à prática de aborto.;"Eduardo Cunha;Isaias Silvestre;João Dado;Andre Moura;Arolde de Oliveira;Padre Ton;Arnaldo Faria de Sá;Aureo;Lincoln Portela;João Campos;Roberto de Lucena;Marcos Rogério;José Linhares";"RJ;MG;SP;SE;RJ;RO;SP;RJ;MG;GO;SP;RO;CE";"PMDB;PSB;PDT;PSC;PSD;PT;PTB;PRTB;PR;PSDB;PV;PDT;PP";27/02/2013;Pronta para Pauta;/proposicoesWeb/fichadetramitacao?idProposicao=565882
PL 1545/2011;Inclui art. 128-A no Decreto-Lei nº 2.848, de 07 de dezembro de 1940.;Tipifica o crime de aborto praticado por médico quando não for os tipos admitidos no Código Penal: necessário ou quando a gravidez resultante de estupro (sentimental).;Eduardo Cunha;RJ;PMDB;08/06/2011;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=507573
PL 8363/2017;Dispõe sobre o exercício profissional da atividade de Doula e dá outras providências.;;Erika Kokay;DF;PT;23/08/2017;Aguardando Designação de Relator;/proposicoesWeb/fichadetramitacao?idProposicao=2148936
PL 4640/2016;Altera a Lei 8.069 de 13 de Julho de 1990, para assegurar à mulher o direito à escolha da família substituta na hipótese de entrega consciente para adoção e cria Campanha Nacional de conscientização sobre a entrega voluntária de bebes para adoção.;;Flavinho;SP;PSB;08/03/2016;"Tramitando em Conjunto;Tramitando em Conjunto";/proposicoesWeb/fichadetramitacao?idProposicao=2078892
