Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
VTS 1 CCJC => PL 4754/2016;Altera a redação do art. 39 da lei 1.079, de 10 de abril de 1950. Tipifica crime de responsabilidade dos Ministros do Supremo Tribunal Federal a usurpação de competência do Poder Legislativo ou do Poder Executivo.;;Talíria Petrone;RJ;PSOL;09/07/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2211362
ESB 5 PL699813 => SBT 1 PL699813 => PL 6998/2013;A redação prevista no § 2º do art. 8º da Lei nº 8.069, de 1990, com a redação dada pelo art. 19 do Substitutivo passa a vigorar com a seguinte redação:;;Darcísio Perondi;RS;PMDB;03/12/2014;;/proposicoesWeb/fichadetramitacao?idProposicao=817964
PRL 3 CSSF => PL 1459/2003;Parecer do Relator, Dep. Darcísio Perondi (PMDB-RS), pela rejeição deste, e do PL 5166/2005, apensado.;;Darcísio Perondi;RS;PMDB;22/05/2015;;/proposicoesWeb/fichadetramitacao?idProposicao=1280289
PRL 4 CSSF => PL 1459/2003;Parecer do Relator, Dep. Darcísio Perondi (PMDB-RS), pela rejeição deste, do PL 5166/2005, e do PL 4396/2016, apensados.;;Darcísio Perondi;RS;PMDB;09/06/2016;;/proposicoesWeb/fichadetramitacao?idProposicao=2087414
PDC 566/2012;Susta a aplicação da decisão do Supremo Tribunal Federal proferida na Arguição de Descumprimento de Preceito Fundamental- ADPF 54, com a finalidade de lograr interpretação conforme a Constituição da disciplina legal dada ao aborto pela legislação penal infraconstitucional, para explicitar que ela não se aplica aos casos de antecipação terapêutica do parto na hipótese de fetos portadores de anencefalia, devidamente certificada por médico habilitado, anulando-se todos os atos dela decorrentes.;;"Roberto de Lucena;João Campos;Salvador Zimbaldi";"SP;GO;SP";"PV;PSDB;PDT";10/05/2012;Aguardando Deliberação de Recurso;/proposicoesWeb/fichadetramitacao?idProposicao=544270
ESB 4 PL699813 => SBT 1 PL699813 => PL 6998/2013;Suprima-se o § 7º do art. 8º caput da Lei 8.069, de 1990, constante do artigo 19 do substitutivo.;;Darcísio Perondi;RS;PMDB;03/12/2014;;/proposicoesWeb/fichadetramitacao?idProposicao=817963
Fonte:;Sistema ;;;;;;;
Data/Ho;13/09/2020 ;;;;;;;
Total de ;6;;;;;;;
