Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
VTS 3 CCJC => PL 5069/2013;Acrescenta o art. 127-A ao Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal.;;Rubens Pereira Júnior;MA;PCdoB;22/09/2015;;/proposicoesWeb/fichadetramitacao?idProposicao=1734900
PRL 3 CSSF => PL 1459/2003;Parecer do Relator, Dep. Darcísio Perondi (PMDB-RS), pela rejeição deste, e do PL 5166/2005, apensado.;;Darcísio Perondi;RS;PMDB;22/05/2015;;/proposicoesWeb/fichadetramitacao?idProposicao=1280289
PRL 4 CSSF => PL 1459/2003;Parecer do Relator, Dep. Darcísio Perondi (PMDB-RS), pela rejeição deste, do PL 5166/2005, e do PL 4396/2016, apensados.;;Darcísio Perondi;RS;PMDB;09/06/2016;;/proposicoesWeb/fichadetramitacao?idProposicao=2087414
VTS 3 PEC18115 => PEC 181/2015;Altera a redação do inciso XVIII do artigo 7º da Constituição Federal para dispor sobre a licença-maternidade em caso de parto prematuro.;;Erika Kokay;DF;PT;20/09/2017;;/proposicoesWeb/fichadetramitacao?idProposicao=2152444
PDC 566/2012;Susta a aplicação da decisão do Supremo Tribunal Federal proferida na Arguição de Descumprimento de Preceito Fundamental- ADPF 54, com a finalidade de lograr interpretação conforme a Constituição da disciplina legal dada ao aborto pela legislação penal infraconstitucional, para explicitar que ela não se aplica aos casos de antecipação terapêutica do parto na hipótese de fetos portadores de anencefalia, devidamente certificada por médico habilitado, anulando-se todos os atos dela decorrentes.;;"Roberto de Lucena;João Campos;Salvador Zimbaldi";"SP;GO;SP";"PV;PSDB;PDT";10/05/2012;Aguardando Deliberação de Recurso;/proposicoesWeb/fichadetramitacao?idProposicao=544270
VTS 2 CCJC => PL 4754/2016;Altera a redação do art. 39 da lei 1.079, de 10 de abril de 1950.;;Margarete Coelho;PI;PP;12/09/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2220171
PRL 1 CSSF => PDC 1487/2014;Parecer do Relator, Dep. Dr. Rosinha (PT-PR), pela rejeição deste, e do PDC 1490/2014, apensado.;;Dr. Rosinha;PR;PT;17/12/2014;;/proposicoesWeb/fichadetramitacao?idProposicao=858797
PRL 1 MESA => RIC 4276/2014;Parecer do Relator, Dep. Waldir Maranhão (PP-MA), pela aprovação.;;Waldir Maranhão;MA;PP;10/03/2015;;/proposicoesWeb/fichadetramitacao?idProposicao=994667
Fonte:;Sistema ;;;;;;;
Data/Ho;13/09/2020 ;;;;;;;
Total de ;8;;;;;;;
