Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 4898/2019;Altera a representatividade das sociedades protetoras de animais nas Comissões de Ética no Uso de Animais (CEUA).;;Fred Costa;MG;PATRIOTA;04/09/2019;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=2218893
PRL 2 CFT => PL 2458/2015;"Parecer da Relatora, Dep. Christiane de Souza Yared (PL-PR), pela não implicação da matéria em aumento ou diminuição da receita ou da despesa públicas, não cabendo pronunciamento quanto à adequação financeira e orçamentária; e, no mérito, pela rejeição.";;Christiane de Souza Yared;PR;PL;09/10/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2224713
REQ 311/2019 CSSF;Requer a aprovação de visita técnica dos membros da subcomissão Permanente de saúde à Comissão Nacional de Ética em Pesquisa- CONEP;;Carmen Zanotto;SC;CIDADANIA;01/10/2019;Aguardando Providências Internas;/proposicoesWeb/fichadetramitacao?idProposicao=2222711
PRL 2 CSSF => PL 425/2011;Parecer do Relator, Dep. Darcísio Perondi (MDB-RS), pela rejeição deste, e do Substitutivo adotado pela CDC.;;Darcísio Perondi;RS;MDB;26/08/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2217152
PRL 4 CSSF => PL 7082/2017;Parecer do Relator, Dep. Hiran Gonçalves (PP-RR), pela aprovação do PL 7082, de 2017, das Emendas Adotadas pela Comissão de Ciência e Tecnologia, Comunicação e Informática, nos termos do Substituto;;Hiran Gonçalves;RR;PP;15/05/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2203381
SBT 4 CSSF => PL 7082/2017;Dispõe sobre a pesquisa clínica com seres humanos e institui o Sistema Nacional de Ética em Pesquisa Clínica com Seres Humanos;;Hiran Gonçalves;RR;PP;15/05/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2203380
SBT 3 CSSF => PL 7082/2017;Dispõe sobre a pesquisa clínica com seres humanos e institui o Sistema Nacional de Ética em Pesquisa Clínica com Seres Humanos.;;Hiran Gonçalves;RR;PP;26/04/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2199603
PRL 2 CSSF => PL 7082/2017;Parecer do Relator, Dep. Hiran Gonçalves (PP-RR), pela aprovação deste, juntamente com as emendas adotadas na Comissão de Ciência e Tecnologia, Comunicação e Informática, com substitutivo.;;Hiran Gonçalves;RR;PP;22/11/2018;;/proposicoesWeb/fichadetramitacao?idProposicao=2187232
EMC 663/2011 PL803510 => PL 8035/2010;Inclua-se nova meta Meta 1, ao PL 8035 de 2.010, renumerando-se as demais, com a seguinte redação: Meta 1 A educação em direitos humanos nos seus aspectos éticos, críticos e políticos, deve estar presente em toda vida escolar e deve estar expressar-se nas distintas manifestações do currículo, em todos os níveis e modalidades da educação.;;Emiliano José;BA;PT;01/06/2011;;/proposicoesWeb/fichadetramitacao?idProposicao=505004
