Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 1839/2020;Estabelece como qualificadora do crime de homicídio, e insere no rol de crimes hediondos o crime de lesão corporal dolosa de natureza gravíssima e a lesão corporal seguida de morte contra pessoa com deficiência ou portadoras de doenças degenerativas que acarretem condição limitante ou de vulnerabilidade física ou ...;Altera o Decreto-lei nº 2.848, de 1940 e a Lei nº 8.072, de 1990.;Aroldo Martins;PR;REPUBLIC;13/04/2020;Aguardando Autorização Devolução;/proposicoesWeb/fichadetramitacao?idProposicao=2248015
PL 1545/2011;Inclui art. 128-A no Decreto-Lei nº 2.848, de 07 de dezembro de 1940.;Tipifica o crime de aborto praticado por médico quando não for os tipos admitidos no Código Penal: necessário ou quando a gravidez resultante de estupro (sentimental).;Eduardo Cunha;RJ;PMDB;08/06/2011;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=507573
PL 2162/2020;Autoriza, na vigência da situação de emergência de saúde pública relacionada à pandemia da Covid-19, a contratação simplificada de médicos residentes no Brasil com diplomas expedidos no exterior.;;"Fernanda Melchionna ;David Miranda ;Edmilson Rodrigues ;Luiza Erundina ;Sâmia Bomfim ;Áurea Carolina";"RS;RJ;PA;SP;SP;MG";"PSOL;PSOL;PSOL;PSOL;PSOL;PSOL";24/04/2020;Aguardando Despacho do Presidente da Câmara dos Deputados;/proposicoesWeb/fichadetramitacao?idProposicao=2250563
PL 1783/2020;Estabelece como qualificadora do crime de homicídio, e insere no rol de crimes hediondos o crime de lesão corporal dolosa de natureza gravíssima e a lesão corporal seguida de morte contra pessoa com deficiência ou portadoras de doenças degenerativas que acarretem condição limitante ou de vulnerabilidade física ou mental. ...;Altera o Decreto-Lei 2.848 de 2940 e Lei nº 8.072 de 1990.;Aroldo Martins;PR;REPUBLIC;10/04/2020;Aguardando Autorização do Despacho;/proposicoesWeb/fichadetramitacao?idProposicao=2247365
PL 5559/2016;Dispõe sobre os direitos dos pacientes e dá outras providências.;;"Pepe Vargas;Chico D'Angelo;Henrique Fontana";"RS;RJ;RS";"PT;PT;PT";14/06/2016;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=2087978
PL 2004/2011;"Altera o art. 32 da Lei nº 9.605, de 1998, que ""dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente, e dá outras providências"".";Aumenta a pena de detenção para um a três anos nos casos de abuso e maus-tratos de animais.;Paulo Wagner;RN;PV;11/08/2011;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=515180
PL 2509/2019;Altera o art. 18 da Lei nº 13.301 de 26 de junho de 2016, para garantir o acesso ao benefício de prestação continuada da Lei no 8.742, de 7 de dezembro de 1993 por crianças e adolescentes vítimas de microcefalia, síndrome congênita do zika ou outras alterações no crescimento e desenvolvimento relacionadas a etiologias infecciosas transmitidas pelo Aedes aegypti e dá outras providências.;;Natália Bonavides;RN;PT;24/04/2019;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2199214
PL 3762/2019;Regulamenta a profissão de Biotecnologista.;;André Figueiredo;CE;PDT;27/06/2019;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=2209732
