Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 5745/2016;Obriga a criação do Programa Nacional de Prevenção à Gravidez Precoce.;;Felipe Bornier;RJ;PROS;05/07/2016;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2090372
PL 4024/2015;Introduz o parágrafo quarto no art. 6º da Lei nº 8.742, de 7 de dezembro de 1993 (Lei Orgânica da Assistência Social), para instituir programas de prevenção à gravidez precoce.;;Marcelo Belinati;PR;PP;15/12/2015;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2075021
PL 6980/2013;Dispõe sobre a disponibilização de anticoncepcionais injetáveis pelo Sistema Único de Saúde (SUS).;;Sueli Vidigal;ES;PDT;17/12/2013;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=604628
INC 626/2020;"Envia Indicação ao Sr. Ministro da Saúde, sugerindo a revogação da NOTA TÉCNICA Nº 16/2020 -COSMU/CGCIVI/DAPES/SAPS/MS, que trata do ""acesso à saúde sexual e saúde reprodutiva no contexto da pandemia da COVID-19"".";;Chris Tonietto;RJ;PSL;03/06/2020;Aguardando Resposta;/proposicoesWeb/fichadetramitacao?idProposicao=2254491
INC 774/2019;Sugere o aperfeiçoamento de ações de atenção a mulheres portadoras de endometriose.;;Maria Rosas;SP;PRB;29/05/2019;Aguardando Remessa ao Arquivo;/proposicoesWeb/fichadetramitacao?idProposicao=2205404
PRL 1 CSSF => PL 10043/2018;Parecer do Relator, Dep. Dr. Jaziel (PL-CE), pela aprovação, com substitutivo.;;Dr. Jaziel;CE;PL;27/11/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2231050
SBT 1 CSSF => PL 10043/2018;Dispõe sobre a advertência quanto ao uso de anticoncepcionais.;;Dr. Jaziel;CE;PL;27/11/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2231055
PRL 4 CSSF => PL 6022/2013;Parecer do Relator, Dep. Jorge Solla (PT-BA), pela aprovação deste, e dos PLs 8.931/2017, 2.398/2019, 2.916/2019, e 1.590/2019, apensados, com substitutivo, e pela rejeição dos PLs 6.033/2013, 6.061/2013, e 6.055/2013, apensados e das Emendas 1, 2 e 3.;;Jorge Solla;BA;PT;24/10/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2227081
PRL 1 CE => PL 1619/2019 (Nº Anterior: PL 8599/2017);Parecer do Relator, Dep. Saraiva Felipe (MDB-MG), pela aprovação, com emenda.;;Saraiva Felipe;MG;MDB;20/11/2018;;/proposicoesWeb/fichadetramitacao?idProposicao=2186895
PL 882/2015;Estabelece as políticas públicas no âmbito da saúde sexual e dos direitos reprodutivos e dá outras providências.;Altera o Decreto-lei nº 2.848, de 1940.;Jean Wyllys;RJ;PSOL;24/03/2015;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=1050889
