Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 166/2011;Dispõe sobre a criação de Casas Apoio destinadas ao atendimento de adolescentes grávidas.;;"Weliton Prado;Ricardo Izar";"MG;SP";"PT;PP";07/02/2011;Aguardando Designação de Relator;/proposicoesWeb/fichadetramitacao?idProposicao=491186
PL 882/2015;Estabelece as políticas públicas no âmbito da saúde sexual e dos direitos reprodutivos e dá outras providências.;Altera o Decreto-lei nº 2.848, de 1940.;Jean Wyllys;RJ;PSOL;24/03/2015;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=1050889
PL 891/2015;Estabelece as políticas públicas no âmbito da saúde sexual e dos direitos reprodutivos e dá outras providências.;;Flavinho;SP;PSB;24/03/2015;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=1105078
VTS 1 CSSF => PL 478/2007;"""Dispõe sobre o Estatuto do Nascituro e dá outras providências"".";;Darcísio Perondi;RS;PMDB;19/05/2010;;/proposicoesWeb/fichadetramitacao?idProposicao=477953
VTS 1 CSSF => PL 5899/2009;Altera a Lei nº 9.263, de 12 de janeiro de 1996, que regula o § 7º do art. 226 da Constituição Federal, que trata do planejamento familiar, estabelece penalidades e dá outras providências, para incluir o câncer de próstata entre as doenças cujo controle e prevenção devem integrar o programa de atenção integral à saúde masculina no âmbito do Sistema Único de Saúde e assegurar o oferecimento de aconselhamento genético nos casos em que haja indicação clínica.;;Osmar Terra;RS;PMDB;05/05/2010;;/proposicoesWeb/fichadetramitacao?idProposicao=475479
PRL 2 PEC47810 => PEC 478/2010;Parecer da Relatora, Dep. Benedita da Silva (PT-RJ), pela aprovação desta, e da PEC 114/2011, apensada, com substitutivo.;;Benedita da Silva;RJ;PT;04/07/2012;;/proposicoesWeb/fichadetramitacao?idProposicao=550483
VTS 1 PL658313 => PL 6583/2013;Dispõe sobre o Estatuto da Família e dá outras providências.;;Manuela D'ávila;RS;PCdoB;19/12/2014;;/proposicoesWeb/fichadetramitacao?idProposicao=860863
VTS 3 CCJC => PL 3047/2008;Altera a Lei nº 9.455, de 7 de abril de 1997, que define os crimes de tortura.;;Cristiane Brasil;RJ;PTB;18/06/2015;;/proposicoesWeb/fichadetramitacao?idProposicao=1514235
VTS 1 CCJC => PL 3047/2008;Define como crime de tortura o constrangimento com violência, em razão de discriminação de gênero, violência contra a mulher, agravando a pena quando o crime é cometido em decorrência de relações de parentesco, casamento ou união estável.;;Marcos Rogério;RO;PDT;09/06/2015;;/proposicoesWeb/fichadetramitacao?idProposicao=1302370
DVT 2 PEC18115 => PEC 181/2015;Nos termos do Art. 182 do Regimento Interno, encaminhamos para devida publicação esta declaração de voto. O PCdoB vota NÃO ao Substitutivo apresentado pelo Relator em seu parecer.;;Jô Moraes;MG;PCdoB;22/11/2017;;/proposicoesWeb/fichadetramitacao?idProposicao=2162857
