Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 3089/2020;Altera os artigos 215-A e do 218-C do Decreto-Lei 2.848, de 7 de dezembro de 1940 ?Código Penal, para aumentar as penas dos respectivos delitos.;;Capitão Alberto Neto;AM;REPUBLIC;03/06/2020;Aguardando Autorização do Despacho;/proposicoesWeb/fichadetramitacao?idProposicao=2254355
PL 3485/2020;Altera o Decreto-Lei nº 2.848, de 7 de fevereiro de 1940, aumentando a pena prevista para a conduta disposta no art. 218-C.;;Célio Studart;CE;PV;24/06/2020;Aguardando Autorização do Despacho;/proposicoesWeb/fichadetramitacao?idProposicao=2256115
PL 523/2019;Acrescenta o inciso XIV ao art. 3º da Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, e altera o inciso X do art. 2º da Lei nº 13.005, de 25 de junho de 2014, que aprova o Plano Nacional de Educação (PNE) e dá outras providências, para prever a igualdade entre homens e mulheres como princípio do ensino e como diretriz do PNE.;;Jandira Feghali;RJ;PCdoB;06/02/2019;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2191352
PL 1545/2011;Inclui art. 128-A no Decreto-Lei nº 2.848, de 07 de dezembro de 1940.;Tipifica o crime de aborto praticado por médico quando não for os tipos admitidos no Código Penal: necessário ou quando a gravidez resultante de estupro (sentimental).;Eduardo Cunha;RJ;PMDB;08/06/2011;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=507573
PL 2787/2020;Altera o inciso I do § 2º do art. 218-B do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), dando-lhe nova redação, a fim de estender os efeitos da norma para quando o crime de que trata o artigo for cometido contra pessoa de idade igual a 14 (quatorze) anos.;;"Chris Tonietto;Major Fabiana";"RJ;RJ";"PSL;PSL";20/05/2020;Aguardando Autorização do Despacho;/proposicoesWeb/fichadetramitacao?idProposicao=2253315
PL 554/2020;"Esta lei altera a Lei nº 2.848 de 07 de dezembro de 1940 para incluir a alínea ""a"" ao inciso II do artigo 226.";;Loester Trutis;MS;PSL;05/03/2020;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2238523
RIC 1771/2019;"""Solicita informações à Senhora Ministra da Mulher, da Família e dos Direitos Humanos, acerca das políticas públicas e ações do governo federal para o combate ao estupro"".";;Jesus Sérgio;AC;PDT;10/12/2019;"Aguardando Remessa ao Arquivo;Aguardando Deliberação";/proposicoesWeb/fichadetramitacao?idProposicao=2233244
RIC 1774/2019;"""Solicita informações ao Senhor Ministro da Cidadania, acerca das políticas públicas e ações do governo federal para o combate ao estupro"".";;Jesus Sérgio;AC;PDT;10/12/2019;"Aguardando Remessa ao Arquivo;Aguardando Deliberação";/proposicoesWeb/fichadetramitacao?idProposicao=2233249
