Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 1532/2015;"Altera o caput do art. 1º da Lei nº 11.438, de 29 de dezembro de 2006, que ""dispõe sobre incentivos e benefícios para atividades de caráter desportivo e dá outras providências"", para prorrogar o prazo para dedução, do imposto de renda devido pelas pessoas físicas e pelas pessoas jurídicas, dos valores despendidos em projetos desportivos e paradesportivos.";;Chico D'Angelo;RJ;PT;13/05/2015;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=1278747
PL 130/2015;Dispõe sobre o aumento dos limites para dedução, do imposto de renda de pessoas físicas e jurídicas, dos valores destinados a projetos desportivos e paradesportivos, e prorroga o prazo para dedução.;;João Derly;RS;PCdoB;03/02/2015;"Pronta para Pauta;Pronta para Pauta";/proposicoesWeb/fichadetramitacao?idProposicao=945554
PL 1945/2020;Altera dispositivo do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para fins de inclusão de causa de aumento de pena em caso de aborto realizado em razão de microcefalia ou qualquer outra anomalia ou malformação do feto.;;Chris Tonietto;RJ;PSL;16/04/2020;Aguardando Autorização do Despacho;/proposicoesWeb/fichadetramitacao?idProposicao=2249319
PL 5923/2019;Dispõe sobre a proibição de homenagens por meio da utilização de expressão, figura, desenho ou qualquer outro sinal relacionados à escravidão e/ou a pessoas notoriamente participantes do movimento eugenista brasileiro por pessoas físicas e pessoas jurídicas de direito público ou ...;Altera a Lei nº 9.279, de 1996.;Talíria Petrone;RJ;PSOL;07/11/2019;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2229089
PL 4537/2012;Modifica o art. 44, §1º da Lei nº 9.504, 30 de setembro de 1997, para tornar obrigatório, em programas eleitorais, debates e quaisquer outras informações a propósito das candidaturas, veiculadas na televisão no período de propaganda eleitoral gratuita, o uso simultâneo da Linguagem Brasileira de Sinais e da legenda.;;Rosinha da Adefal;AL;PTdoB;11/10/2012;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=556913
REQ 57/2019 CDHM;"""Requer a realização de Audiência Pública para discutir a ADI 5581, que pretende permitir o aborto em caso de fetos gestados por mães infectados pelo vírus zika"".";;Filipe Barros;PR;PSL;07/05/2019;Aguardando Providências Internas;/proposicoesWeb/fichadetramitacao?idProposicao=2200080
REQ 21/2019 GTPENAL;Requer indicação de especialistas para debaterem em audiências públicas os temas propostos no plano de trabalho;;Margarete Coelho;PI;PP;10/04/2019;Aguardando Providências Internas;/proposicoesWeb/fichadetramitacao?idProposicao=2197844
RIC 4015/2014;Requer à Ministra do Planejamento, Orçamento e Gestão-MPOG, sobre concessão à iniciativa privada de operações de serviços e infraestrutura no Parque Nacional e Jericoacoara;;Raimundo Gomes de Matos;CE;PSDB;26/02/2014;;/proposicoesWeb/fichadetramitacao?idProposicao=606936
