Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 7020/2017;Altera o art. 20 da Lei nº 8.036, de 11 de maio de 1990, para permitir a movimentação do saldo da conta vinculada do trabalhador no Fundo de Garantia do Tempo de Serviço - FGTS na hipótese de custeio de tratamento para infertilidade.;;Rogério Peninha Mendonça;SC;PMDB;07/03/2017;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2124638
PL 7591/2017;Acrescenta parágrafo único ao art. 1.798 da Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), para conferir capacidade para suceder aos concebidos com o auxílio de técnica de reprodução assistida após a abertura da sucessão.;;Carlos Bezerra;MT;PMDB;10/05/2017;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2136486
PRL 1 MESA => RIC 3745/2018;Parecer do Relator, Dep. Fábio Ramalho (MDB-MG), pela aprovação.;;Fábio Ramalho;MG;MDB;28/11/2018;;/proposicoesWeb/fichadetramitacao?idProposicao=2187826
PRL 1 CPD => PL 5854/2013;Parecer da Relatora, Dep. Zenaide Maia (PHS-RN), pela aprovação deste, do Substitutivo adotado pela Comissão de Defesa dos Direitos da Pessoa Idosa - (CIDOSO), do PL 3590/2008, do PL 5038/2009, do PL 7606/2010, do PL 312/2011, do PL 2118/2011, do PL 3261/2012, do PL 4595/2016, do PL 3689/2008, do PL 5138/2009, do PL 5291/2009, do PL 6305/2009, do PL 7683/2010, do PL 7684/2010, do PL 1316/2011, do PL 1401/2011, do PL 2802/2011, do PL 3478/2012, do PL 3859/2012, do PL 4208/2012, do PL 4351/2012, d ...;;Zenaide Maia;RN;PHS;06/09/2018;;/proposicoesWeb/fichadetramitacao?idProposicao=2183807
PRL 1 CCJC => PL 276/2007;"Parecer do Relator, Dep. Regis de Oliveira (PSC-SP), pela constitucionalidade, juridicidade e técnica legislativa; e, no mérito, pela aprovação deste, com substitutivo.";;Regis de Oliveira;SP;PSC;09/11/2010;;/proposicoesWeb/fichadetramitacao?idProposicao=485893
PRL 2 CCJC => PL 276/2007;"Parecer do Relator, Dep. Regis de Oliveira (PSC-SP), pela constitucionalidade, juridicidade e técnica legislativa; e, no mérito, pela aprovação deste, com substitutivo.";;Regis de Oliveira;SP;PSC;01/12/2010;;/proposicoesWeb/fichadetramitacao?idProposicao=488350
PRL 2 CSSF => PL 5730/2009;Parecer do Relator, Dep. Danilo Forte (PMDB-CE), pela aprovação.;;Danilo Forte;CE;PMDB;16/06/2011;;/proposicoesWeb/fichadetramitacao?idProposicao=509567
SBT 4 CIDOSO => PL 5854/2013;CÂMARA DOS DEPUTADOS COMISSÃO DE DEFESA DOS DIREITOS DA PESSOA IDOSA PROJETO DE LEI Nº 5.854, DE 2013 (Do Senado Federal) Apensos: PL nº 3479/2008, PL nº 3590/2008, PL nº 3689/2008, PL nº 5038/2009, PL nº 5138/2009, PL nº 5291/2009, PL nº 6305/2009, PL nº 7606/2010, PL nº 7683/2010, PL nº 7684/2010, PL nº 272/2011, PL nº 312/2011, PL nº 1316/2011, PL nº 1401/2011, PL nº 2118/2011, PL nº 2802/2011, PL nº 3261/2012, PL nº 3478/2012, PL nº 3859/2012, PL nº 4208/2012, PL nº ...;;Marco Antônio Cabral;RJ;PMDB;08/11/2017;;/proposicoesWeb/fichadetramitacao?idProposicao=2161882
