Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 3391/2019;Altera a Lei n. 8.080, de 19 de setembro de 1990, que dispõe sobre as condições para a promoção, proteção e recuperação da saúde, para dispor sobre a prioridade na assistência psicológica às mulheres que sofreram aborto espontâneo, nos casos permitidos em Lei ou na ocorrência de óbito perinatal;;Fábio Faria;RN;PSD;06/06/2019;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=2207082
PL 2893/2019;Revoga o art. 128 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal).;Revoga dispositivo que trata do aborto necessário e do aborto em caso de estupro.;"Chris Tonietto;Filipe Barros";"RJ;PR";"PSL;PSL";15/05/2019;Aguardando Pendências;/proposicoesWeb/fichadetramitacao?idProposicao=2203415
PL 7633/2014;Dispõe sobre a humanização da assistência à mulher e ao neonato durante o ciclo gravídico-puerperal e dá outras providências.;;Jean Wyllys;RJ;PSOL;29/05/2014;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=617546
PL 7895/2014;Altera a Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para acrescentar o § 5º, no art. 392.;Altera a contagem da licença-maternidade em caso de parto de filho prematuro.;Andreia Zito;RJ;PSDB;19/08/2014;"Tramitando em Conjunto;Tramitando em Conjunto;Tramitando em Conjunto";/proposicoesWeb/fichadetramitacao?idProposicao=621820
PEC 196/2016;Dá nova redação ao inciso XVIII do art. 7º da Constituição Federal, para dispor sobre a licença-maternidade.;Estabelece que tanto a mãe biológica quanto a mãe adotiva de múltiplos tem o direito de ampliar em 30 (trinta) dias a licença maternidade para cada filho nascido vivo ou adotado além do primeiro.;Efraim Filho;PB;DEM;22/03/2016;"Tramitando em Conjunto;Tramitando em Conjunto";/proposicoesWeb/fichadetramitacao?idProposicao=2080196
PL 1945/2020;Altera dispositivo do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para fins de inclusão de causa de aumento de pena em caso de aborto realizado em razão de microcefalia ou qualquer outra anomalia ou malformação do feto.;;Chris Tonietto;RJ;PSL;16/04/2020;Aguardando Autorização do Despacho;/proposicoesWeb/fichadetramitacao?idProposicao=2249319
PL 9696/2018;Altera a Lei nº 8.213, de 24 de julho de 1991 e o Decreto-Lei nº 5.452, de 1º de maio de 1943 para dispor sobre a licença maternidade em caso de natimorto ou de aborto não criminoso.;;José Guimarães;CE;PT;06/03/2018;"Tramitando em Conjunto;Tramitando em Conjunto;Tramitando em Conjunto";/proposicoesWeb/fichadetramitacao?idProposicao=2168783
SBT 1 CSSF => PL 1599/2020 (Nº Anterior: PL 6429/2016);Institui a Semana Nacional de Prevenção e Combate à Microcefalia.;;Diego Garcia;PR;PHS;31/08/2017;;/proposicoesWeb/fichadetramitacao?idProposicao=2150072
