Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 166/2011;Dispõe sobre a criação de Casas Apoio destinadas ao atendimento de adolescentes grávidas.;;"Weliton Prado;Ricardo Izar";"MG;SP";"PT;PP";07/02/2011;Aguardando Designação de Relator;/proposicoesWeb/fichadetramitacao?idProposicao=491186
PL 5745/2016;Obriga a criação do Programa Nacional de Prevenção à Gravidez Precoce.;;Felipe Bornier;RJ;PROS;05/07/2016;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2090372
RIC 42/2020;Requer à Ministra de Estado da Mulher, da Família e dos Direitos Humanos, informações sobre os gastos com a campanha pela abstinência sexual.;;Alexandre Padilha;SP;PT;05/02/2020;"Aguardando Remessa ao Arquivo;Aguardando Deliberação";/proposicoesWeb/fichadetramitacao?idProposicao=2236628
RIC 32/2020;Requer informações ao Senhor Ministro de Estado da Saúde relacionadas à Lei 13.798/2019.;;Diego Garcia;PR;PODE;05/02/2020;"Aguardando Remessa ao Arquivo;Aguardando Deliberação";/proposicoesWeb/fichadetramitacao?idProposicao=2236578
RIC 113/2020;"Solicita à Ministra de Estado da Mulher, da Família e dos Direitos Humanos esclarecimentos acerca da campanha ""Adolescência primeiro, gravidez depois - tudo tem o seu tempo"".";;Sâmia Bomfim;SP;PSOL;17/02/2020;"Aguardando Remessa ao Arquivo;Aguardando Deliberação";/proposicoesWeb/fichadetramitacao?idProposicao=2237605
PL 4024/2015;Introduz o parágrafo quarto no art. 6º da Lei nº 8.742, de 7 de dezembro de 1993 (Lei Orgânica da Assistência Social), para instituir programas de prevenção à gravidez precoce.;;Marcelo Belinati;PR;PP;15/12/2015;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2075021
REQ 29/2020 CEXINFAN;"Requer a realização de Audiência Pública no âmbito desta comissão para debater o tema ""gravidez precoce e planejamento familiar"".";;Paula Belmonte;DF;CIDADANIA;03/03/2020;Aguardando Providências Internas;/proposicoesWeb/fichadetramitacao?idProposicao=2238284
REQ 16/2020 CEXINFAN;Requer informações ao Excelentíssimo Senhor Ministro da Saúde, Senhor Luiz Henrique Mandetta, acerca de dados sobre gravidez precoce.;;Paula Belmonte;DF;CIDADANIA;03/03/2020;Aguardando Providências Internas;/proposicoesWeb/fichadetramitacao?idProposicao=2238270
REQ 17/2020 CEXINFAN;Requer informações ao Excelentíssimo a Senhora Ministra da Mulher, da Família e dos Direitos Humanos, Senhora Damares Alves, acerca de dados sobre gravidez precoce.;;Paula Belmonte;DF;CIDADANIA;03/03/2020;Aguardando Providências Internas;/proposicoesWeb/fichadetramitacao?idProposicao=2238271
PL 6583/2013;Dispõe sobre o Estatuto da Família e dá outras providências.;;Anderson Ferreira;PE;PR;16/10/2013;"Aguardando Deliberação de Recurso;Comissão em funcionamento";/proposicoesWeb/fichadetramitacao?idProposicao=597005
