Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 581/2020;Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), a fim de dispor sobre a imprescritibilidade dos crimes dolosos contra a vida.;;Chris Tonietto;RJ;PSL;09/03/2020;;/proposicoesWeb/fichadetramitacao?idProposicao=2238604
PL 4893/2012;Altera os arts. 121, 122, 129 e 136 e revoga o § 1º do art. 121 e os arts. 123 e 134 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal.;Aumenta as penas e inclui formas qualificadas para os crimes de homicídio simples, homicídio culposo, homicídio doloso, induzimento ao suicídio, lesão corporal, lesão corporal culposa, maus tratos.;CONSTITUIÇÃO E JUSTIÇA E DE CIDADANIA;;;19/12/2012;Pronta para Pauta;/proposicoesWeb/fichadetramitacao?idProposicao=564092
REQ 3048/2019;Requer a realização de Sessão Solene em comemoração do Dia de Cristo Rei, e em combate à cristofobia.;;Chris Tonietto;RJ;PSL;26/11/2019;Aguardando Despacho do Presidente da Câmara dos Deputados;/proposicoesWeb/fichadetramitacao?idProposicao=2230717
PL 130/2019;Altera o § 4º do art. 8º da Lei 8.069, de 13 de julho de 1990, para ampliar a assistência à gestante e à mãe no período pré e pós-natal.;;Renata Abreu;SP;PODE;04/02/2019;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=2190598
REQ 1/2019 CMULHER;Requer a realização de Audiência Pública para discutir o PL 478/2007, que dispõe sobre o Estatuto do Nascituro e dá outras providências.;;Diego Garcia;PR;PODE;14/03/2019;Pronta para Pauta;/proposicoesWeb/fichadetramitacao?idProposicao=2193951
PL 9128/2017;Altera o art. 134 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, agravando a pena do crime de Exposição ou abandono de recém-nascido.;;Delegado Waldir;GO;PR;22/11/2017;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2162755
SBT 4 CDHM => PL 1057/2007;Acrescenta o art. 54-A à Lei nº 6.001, de 19 de dezembro de 1973, que dispõe sobre o Estatuto do Índio.;;Janete Rocha Pietá;SP;PT;29/11/2010;;/proposicoesWeb/fichadetramitacao?idProposicao=502464
SBT 1 CSSF => PL 626/2011;COMISSÃO DE SEGURIDADE SOCIAL E FAMÍLIA PROJETO DE LEI No 626, DE 2011 (Apenso o PL 959, de 2011) Acrescenta parágrafo ao art. 8º da lei nº 8.069, de 13 de julho de 1990 ? Estatuto da Criança e do Adolescente para garantir atendimento ambulatorial e psicológico à menor gestante. Autor: Deputado JORGE TADEU MUDALEN Relatora: Deputada CIDA BORGHETTI I - RELATÓRIO A primeira iniciativa pretende incluir um parágrafo ao art. 8º do Estatuto da Criança e do Adolescente. O art. 8º ...;;Cida Borghetti;PR;PP;28/06/2011;;/proposicoesWeb/fichadetramitacao?idProposicao=510222
