Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 9696/2018;Altera a Lei nº 8.213, de 24 de julho de 1991 e o Decreto-Lei nº 5.452, de 1º de maio de 1943 para dispor sobre a licença maternidade em caso de natimorto ou de aborto não criminoso.;;José Guimarães;CE;PT;06/03/2018;"Tramitando em Conjunto;Tramitando em Conjunto;Tramitando em Conjunto";/proposicoesWeb/fichadetramitacao?idProposicao=2168783
REQ 36/2019 CMULHER;Requer a realização de audiência pública conjunta de Defesa dos Direitos da Mulher e Comissão de Seguridade Social e Família acerca dos fluxos de atendimento em casos de interrupção da gravidez.;;Sâmia Bomfim;SP;PSOL;25/06/2019;Pronta para Pauta;/proposicoesWeb/fichadetramitacao?idProposicao=2209207
PL 1522/2015;Altera o art. 395 da Consolidação das Leis do Trabalho - CLT, para assegurar a garantia de emprego contra dispensa arbitrária ou sem justa causa à trabalhadora em caso de aborto não criminoso.;Altera o Decreto-lei nº 5.452, de 1943.;Luciano Ducci;PR;PSB;13/05/2015;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=1266746
PRL 1 CSSF => PL 4592/2009;Parecer do Relator, Dep. Arlindo Chinaglia (PT-SP), pela aprovação.;;Arlindo Chinaglia;SP;PT;05/04/2010;;/proposicoesWeb/fichadetramitacao?idProposicao=471975
PRL 1 CE => PL 4592/2009;Parecer do Relator, Dep. Jorge Tadeu Mudalen (DEM-SP), pela aprovação.;;Jorge Tadeu Mudalen;SP;DEM;13/07/2010;;/proposicoesWeb/fichadetramitacao?idProposicao=483509
VTS 2 CCJC => PL 5069/2013;"""Acrescenta o art. 127-A ao Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal.""";;"Chico Alencar;Ivan Valente";"RJ;SP";"PSOL;PSOL";22/09/2015;;/proposicoesWeb/fichadetramitacao?idProposicao=1734894
PRL 1 CSSF => PDC 1487/2014;Parecer do Relator, Dep. Dr. Rosinha (PT-PR), pela rejeição deste, e do PDC 1490/2014, apensado.;;Dr. Rosinha;PR;PT;17/12/2014;;/proposicoesWeb/fichadetramitacao?idProposicao=858797
PRL 1 MESA => RIC 4276/2014;Parecer do Relator, Dep. Waldir Maranhão (PP-MA), pela aprovação.;;Waldir Maranhão;MA;PP;10/03/2015;;/proposicoesWeb/fichadetramitacao?idProposicao=994667
Fonte:;Sistema ;;;;;;;
Data/Ho;13/09/2020 ;;;;;;;
Total de ;8;;;;;;;
