Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 5069/2013;Acrescenta o art. 127-A ao Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal.;Tipifica como crime contra a vida o anúncio de meio abortivo e prevê penas específicas para quem induz a gestante à prática de aborto.;"Eduardo Cunha;Isaias Silvestre;João Dado;Andre Moura;Arolde de Oliveira;Padre Ton;Arnaldo Faria de Sá;Aureo;Lincoln Portela;João Campos;Roberto de Lucena;Marcos Rogério;José Linhares";"RJ;MG;SP;SE;RJ;RO;SP;RJ;MG;GO;SP;RO;CE";"PMDB;PSB;PDT;PSC;PSD;PT;PTB;PRTB;PR;PSDB;PV;PDT;PP";27/02/2013;Pronta para Pauta;/proposicoesWeb/fichadetramitacao?idProposicao=565882
PL 2893/2019;Revoga o art. 128 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal).;Revoga dispositivo que trata do aborto necessário e do aborto em caso de estupro.;"Chris Tonietto;Filipe Barros";"RJ;PR";"PSL;PSL";15/05/2019;Aguardando Pendências;/proposicoesWeb/fichadetramitacao?idProposicao=2203415
PRL 1 MESA => RIC 2754/2013;Parecer do Relator, Dep. Andre Vargas (PT-PR), pela aprovação.;;Andre Vargas;PR;PT;18/03/2013;;/proposicoesWeb/fichadetramitacao?idProposicao=567989
PRL 1 MESA => RIC 2773/2013;Parecer do Relator, Dep. Andre Vargas (PT-PR), pela aprovação.;;Andre Vargas;PR;PT;11/04/2013;;/proposicoesWeb/fichadetramitacao?idProposicao=571827
PRL 2 MESA => RIC 2747/2013;Parecer do Relator, Dep. Andre Vargas (pendente de análise);;Andre Vargas;PR;PT;11/04/2013;;/proposicoesWeb/fichadetramitacao?idProposicao=571824
PRL 1 MESA => RIC 2747/2013;Parecer do Relator, Dep. Andre Vargas (PT-PR), pela aprovação.;;Andre Vargas;PR;PT;11/04/2013;;/proposicoesWeb/fichadetramitacao?idProposicao=571823
PRL 1 MESA => RIC 395/2019;Parecer do Relator, Dep. Marcos Pereira (PRB-SP), pela aprovação.;;Marcos Pereira;SP;PRB;15/04/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2198001
Fonte:;Sistema ;;;;;;;
Data/Ho;13/09/2020 ;;;;;;;
Total de ;7;;;;;;;
