Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 7633/2014;Dispõe sobre a humanização da assistência à mulher e ao neonato durante o ciclo gravídico-puerperal e dá outras providências.;;Jean Wyllys;RJ;PSOL;29/05/2014;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=617546
PL 119/2019;"Inclui a alínea ""e"" no inciso I no art. 6º da Lei nº 8.080, de 19 de setembro de 1990, para ampliar a atuação do Sistema Único de Saúde na saúde integral da Mulher.";Amplia a atuação do SUS na saúde integral da Mulher.;Renata Abreu;SP;PODE;04/02/2019;Aguardando Designação de Relator;/proposicoesWeb/fichadetramitacao?idProposicao=2190579
REQ 248/2020;Requer a criação de Comissão Especial para estudo das razões do aumento de denúncias de violência obstétrica e a alta taxa de morte materna no Brasil.;;Soraya Santos;RJ;PL;17/02/2020;;/proposicoesWeb/fichadetramitacao?idProposicao=2237674
REQ 264/2019 CSSF;Requer a realização de Audiência Pública para debater a Agenda 2030 e as Metas do Objetivo 3. Saúde e Bem-Estar: Assegurar uma vida saudável e promover o bem-estar para todas e todos, em todas as idades.;;Enéias Reis;MG;PSL;20/08/2019;Aguardando Providências Internas;/proposicoesWeb/fichadetramitacao?idProposicao=2216036
PRL 1 CSSF => PL 119/2019;Parecer do Relator, Dep. Luiz Lima (PSL-RJ), pela aprovação deste, nos termos do substitutivo adotado pela Comissão de Defesa dos Direitos da Mulher;;Luiz Lima;RJ;PSL;20/08/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2216357
PL 878/2019;Dispõe sobre a humanização da assistência à mulher e ao neonato durante o ciclo gravídico-puerperal e dá outras providências.;;"Talíria Petrone;Áurea Carolina;Fernanda Melchionna ;Sâmia Bomfim;David Miranda";"RJ;MG;RS;SP;RJ";"PSOL;PSOL;PSOL;PSOL;PSOL";19/02/2019;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2192345
PFC 57/2015;Propõe que a Comissão de Seguridade Social e Família realize com o auxílio do Tribunal de Contas da União - TCU, auditoria e fiscalização nos recursos federais destinados ao Hospital Universitário da Universidade Federal da Grande Dourados - UFGD, pelos fatos denunciados pelo Conselho Municipal de Saúde, que supostamente apontam falhas no serviço público e descaso com a verba pública.;;Geraldo Resende;MS;PMDB;01/10/2015;Aguardando Designação de Relator;/proposicoesWeb/fichadetramitacao?idProposicao=1806405
PL 882/2015;Estabelece as políticas públicas no âmbito da saúde sexual e dos direitos reprodutivos e dá outras providências.;Altera o Decreto-lei nº 2.848, de 1940.;Jean Wyllys;RJ;PSOL;24/03/2015;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=1050889
REL 1/2018 CETECSAU;Relatório da Comissão Especial destinada a estudar o processo de inovação e incorporação tecnológica no complexo produtivo da saúde, no brasil e no mundo.;;Hiran Gonçalves;RR;PP;06/04/2018;Pronta para Pauta;/proposicoesWeb/fichadetramitacao?idProposicao=2171102
