Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 3196/2020;Cria o Programa Universal de Proteção Infantil e dá outras providências.;;"Paula Belmonte;Rubens Bueno;Rodrigo Coelho;General Peternelli;Tereza Nelma;João H. Campos";"DF;PR;SC;SP;AL;PE";"CIDADANIA;CIDADANIA;PSB;PSL;PSDB;PSB";09/06/2020;Aguardando Autorização do Despacho;/proposicoesWeb/fichadetramitacao?idProposicao=2254805
PL 2681/2020;Acrescenta os parágrafos 6º e 7º ao art. 392 e altera o art. 392-B, do Decreto-Lei nº 5.452, de 1ª de maio de 1943, Consolidação das Leis do Trabalho, para estabelecer que o marco inicial da licença-maternidade e do respectivo salário-maternidade seja a alta hospitalar da genitora e/ou do recém-nascido, o que ocorrer por último, bem como para assegurar àquele que conste como genitor na certidão de nascimento, se empregado, o gozo de licença por todo o período ou pelo tempo restante da licença-ma ...;;Guilherme Derrite;SP;PP;14/05/2020;Aguardando Autorização do Despacho;/proposicoesWeb/fichadetramitacao?idProposicao=2252783
PL 3553/2020;Institui diretrizes para serviços de proteção e atendimento especializado a gestantes dependentes químicas a serem criados no âmbito da Proteção Especial da Assistência Social, e dá outras providências .;;Marreca Filho;MA;PATRIOTA;30/06/2020;Aguardando Despacho do Presidente da Câmara dos Deputados;/proposicoesWeb/fichadetramitacao?idProposicao=2256414
PL 3775/2019;Altera o art. 394-A da Lei 13.467/2017, da Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-lei nº 5.452, de 1º de maio de 1943, para assegurar os direitos da grávida e da lactante em atividades laborais salubres.;;Júnior Bozzella;SP;PSL;27/06/2019;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2209800
PL 5431/2013;Acrescenta artigo à consolidação das Leis do Trabalho - CLT, tornando obrigatória a instauração de inquérito para apuração de falta grave de empregada estável nos termos do art. 10 Inciso II, alínea a do Ato das Disposições Constitucionais Transitórias.;Altera o Decreto-lei nº 5.452, de 1943.;Vicentinho;SP;PT;23/04/2013;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=573660
PL 1545/2011;Inclui art. 128-A no Decreto-Lei nº 2.848, de 07 de dezembro de 1940.;Tipifica o crime de aborto praticado por médico quando não for os tipos admitidos no Código Penal: necessário ou quando a gravidez resultante de estupro (sentimental).;Eduardo Cunha;RJ;PMDB;08/06/2011;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=507573
PL 4126/2015;Normatiza o direito ao parto humanizado na rede pública de saúde e dá outras providências.;;Felipe Bornier;RJ;PSD;16/12/2015;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2075709
PL 3983/2015;Altera o artigo 128 do Decreto Lei 2.848 de 7 de dezembro de 1940 (Código Penal).;;"Givaldo Carimbão;Gorete Pereira;Flavinho;Diego Garcia;Joaquim Passarinho;Carlos Gomes;Valtenir Pereira;Sóstenes Cavalcante;Jefferson Campos;Izalci;Roney Nemer;Eros Biondini;Professor Victório Galli";"AL;CE;SP;PR;PA;RS;MT;RJ;SP;DF;DF;MG;MT";"PROS;PR;PSB;PHS;PSD;PRB;PMB;PSD;PSD;PSDB;PMDB;PTB;PSC";15/12/2015;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2074902
