Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 459/2015;Dispõe sobre o Piso Salarial do Enfermeiro, do Técnico de Enfermagem, do Auxiliar de Enfermagem e da Parteira.;Altera a Lei nº 7.498, de 1986.;Andre Moura;SE;PSC;25/02/2015;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=949035
PL 1313/2019;Acrescenta artigo à Lei nº 7.498, de 25 de junho de 1986, para dispor sobre a jornada de trabalho de enfermeiros, técnicos de enfermagem, auxiliares de enfermagem e parteiras.;;Marreca Filho;MA;PATRI;12/03/2019;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2193518
PL 4998/2016;Acrescenta art. 15-A à Lei nº 7.498, de 25 de junho de 1986, para dispor sobre as condições de repouso dos profissionais de enfermagem durante o horário de trabalho.;;Senado Federal - Valdir Raupp;RO;PMDB;12/04/2016;Aguardando Apreciação pelo Senado Federal;/proposicoesWeb/fichadetramitacao?idProposicao=2081913
SBT 1 CSSF => PL 912/2019;Regulamenta a atividade de parteira tradicional.;;Dr. Frederico;MG;PATRIOTA;26/09/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2222227
PL 1607/2019;Acrescenta dispositivo à Lei nº 7.498, de 25 de junho de 1986, para dispor sobre a duração do trabalho dos enfermeiros, técnicos de enfermagem, auxiliares de enfermagem e parteiras.;;Mauro Nazif;RO;PSB;20/03/2019;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2194655
PL 2982/2019;Dispõe sobre o Piso Salarial do Enfermeiro, do Técnico de Enfermagem, do Auxiliar de Enfermagem e da Parteira.;;Julian Lemos;PB;PSL;21/05/2019;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2204013
PRL 1 CSSF => PL 912/2019;Parecer do Relator, Dep. Dr. Frederico (PATRIOTA-MG), pela rejeição.;;Dr. Frederico;MG;PATRIOTA;03/07/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2210756
PL 729/2015;Dispõe sobre o Piso Salarial do Enfermeiro, do Técnico de Enfermagem, do Auxiliar de Enfermagem e da Parteira.;Altera a Lei nº 7.498, de 1986.;Davidson Magalhães;BA;PCdoB;12/03/2015;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=996929
PL 6091/2016;Acrescenta artigo à Lei nº 7.498, de 25 de junho de 1986, a fim de dispor sobre a jornada de trabalho dos profissionais de enfermagem.;;Hildo Rocha;MA;PMDB;12/09/2016;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2111119
PL 2891/2015;"Altera a Lei nº 7.498, de 25 de junho de 1986, que regulamenta o exercício da enfermagem, para nela incluir a obrigatoriedade de formação exclusivamente em cursos presenciais para os profissionais da área"".";;Orlando Silva;SP;PCdoB;03/09/2015;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=1712329
