Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 3032/2020;"""Dispõe sobre política de proteção às mulheres em situação de vulnerabilidade; pela Rede Pública de Saúde com a utilização do Contraceptivo Reversível de Longa Duração de Etonogestrel, e dá outras providências"".";;Alexandre Frota;SP;PSDB;01/06/2020;Aguardando Autorização do Despacho;/proposicoesWeb/fichadetramitacao?idProposicao=2254199
PL 3050/2011;Altera o §2º do art. 10 da Lei 9.263, de 12 de janeiro de 1996, que trata do planejamento familiar, de forma a permitir a realização da laqueadura tubárea nos períodos de parto ou aborto em caso de cesária anterior.;;Aguinaldo Ribeiro;PB;PP;21/12/2011;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=533044
PL 166/2011;Dispõe sobre a criação de Casas Apoio destinadas ao atendimento de adolescentes grávidas.;;"Weliton Prado;Ricardo Izar";"MG;SP";"PT;PP";07/02/2011;Aguardando Designação de Relator;/proposicoesWeb/fichadetramitacao?idProposicao=491186
PL 5745/2016;Obriga a criação do Programa Nacional de Prevenção à Gravidez Precoce.;;Felipe Bornier;RJ;PROS;05/07/2016;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2090372
RIC 32/2020;Requer informações ao Senhor Ministro de Estado da Saúde relacionadas à Lei 13.798/2019.;;Diego Garcia;PR;PODE;05/02/2020;"Aguardando Remessa ao Arquivo;Aguardando Deliberação";/proposicoesWeb/fichadetramitacao?idProposicao=2236578
PL 6980/2013;Dispõe sobre a disponibilização de anticoncepcionais injetáveis pelo Sistema Único de Saúde (SUS).;;Sueli Vidigal;ES;PDT;17/12/2013;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=604628
AA 1 MESA => PL 3734/2012;"Disciplina a organização e o funcionamento dos órgãos responsáveis pela segurança pública, nos termos do § 7 do art. 144 da Constituição Federal; cria a Política Nacional de Segurança Pública e Defesa Social (PNSPDS); institui o Sistema Único de Segurança Pública (Susp); altera a Lei Complementar nº 79, de 7 de janeiro de 1994, e as Leis nºs 10.201, de 14 de fevereiro de 2001, e 11.530, de 24 de outubro de 2007; revoga dispositivos da Lei nº 12.681, de 4 de julho de 2012; e dá ...";;Rodrigo Maia;RJ;DEM;12/04/2018;;/proposicoesWeb/fichadetramitacao?idProposicao=2172055
INC 626/2020;"Envia Indicação ao Sr. Ministro da Saúde, sugerindo a revogação da NOTA TÉCNICA Nº 16/2020 -COSMU/CGCIVI/DAPES/SAPS/MS, que trata do ""acesso à saúde sexual e saúde reprodutiva no contexto da pandemia da COVID-19"".";;Chris Tonietto;RJ;PSL;03/06/2020;Aguardando Resposta;/proposicoesWeb/fichadetramitacao?idProposicao=2254491
