Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 2898/2020;Autoriza o Sistema Único de Saúde a conceder e regulamentar auxilio para fins de tratamento em município diverso do domicilio ao que o cidadão pertence e dá outras providencias;;Alexandre Frota;SP;PSDB;26/05/2020;Aguardando Autorização do Despacho;/proposicoesWeb/fichadetramitacao?idProposicao=2253708
PL 3433/2019;Altera a Lei n. 8.080, de 1990, a fim de criar núcleos de atendimentos especializados para o tratamento de dependentes químicos na rede credenciada do SUS.;;Léo Moraes;RO;PODE;11/06/2019;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2207459
PDL 303/2020;"Susta os efeitos da Portaria nº 1.325, de 18 de maio de 2020, que revoga o Capítulo III, do Anexo XVIII da Portaria de Consolidação nº 2/GM/MS, de 28 de setembro de 2017, que trata do ""Serviço de Avaliação e Acompanhamento de Medidas Terapêuticas Aplicáveis à Pessoa com Transtorno Mental em Conflito com a Lei"", no âmbito da Política Nacional de Atenção às Pessoas Privadas de Liberdade no Sistema Prisional.";;Rejane Dias;PI;PT;22/06/2020;Aguardando Autorização do Despacho;/proposicoesWeb/fichadetramitacao?idProposicao=2255820
PDL 249/2020;Susta os efeitos da Portaria 1325, de 18 de maio de 2020, que revoga o capítulo III do anexo XVIII da Portaria de Consolidação no. 2/GM/MS, de 28 de setembro de 2017, que trata do Serviço de Avaliação e Acompanhamento de Medidas Terapêuticas Aplicáveis à Pessoa com Transtorno Mental em Conflito com a Lei, no âmbito da PNAISP.;;"Fernanda Melchionna ;David Miranda ;Marcelo Freixo ;Sâmia Bomfim ;Edmilson Rodrigues ;Ivan Valente ;Luiza Erundina ;Glauber Braga ;Áurea Carolina";"RS;RJ;RJ;SP;PA;SP;SP;RJ;MG";"PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL";03/06/2020;Aguardando Autorização do Despacho;/proposicoesWeb/fichadetramitacao?idProposicao=2254431
PDL 207/2020;Susta, nos termos do Artigo 49, V, da Constituição Federal, a Portaria Nº 340, de 30 de março de 2020, que ?Estabelece medidas para o enfrentamento da Emergência em Saúde Pública de Importância Nacional decorrente de infecção humana pelo novo coronavírus (COVID-19), no âmbito das Comunidades Terapêuticas.?;;"Erika Kokay ;Pedro Uczai ;Frei Anastacio Ribeiro ;Maria do Rosário ;Leonardo Monteiro ;João Daniel ;Henrique Fontana ;Gleisi Hoffmann ;José Ricardo ;Paulão ;Zé Carlos ;José Guimarães ;Jorge Solla ;Nilto Tatto ;Padre João ;Valmir Assunção ;Célio Moura ;Luizianne Lins ;Reginaldo Lopes ;Marcon ;Alencar Santana Braga ;Assis Carvalho ;Margarida Salomão";"DF;SC;PB;RS;MG;SE;RS;PR;AM;AL;MA;CE;BA;SP;MG;BA;TO;CE;MG;RS;SP;PI;MG";"PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT;PT";11/05/2020;Aguardando Despacho do Presidente da Câmara dos Deputados;/proposicoesWeb/fichadetramitacao?idProposicao=2252118
PL 2038/2015;"Acrescenta a alínea ""j"" ao inciso II do art. 8º da Lei nº. 9.250/ 1995, dispondo sobre a dedução no Imposto de Renda Pessoa Física, para despesas com serviços relacionados à prática de exercícios físicos e esportes, incluindo orientação, espaço e equipamentos.";;Jhc;AL;SD;19/06/2015;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=1514388
INC 158/2020;Sugere ao Excelentíssimo Sr. Presidente da República, em virtude da emergência em Saúde Pública decorrente da alarmante disseminação do Coronavírus, a reabertura do Sistema Integrado de Planejamento e Orçamento - SIOP - a fim de possibilitar aos parlamentares o remanejamento das priorizações para a área da saúde, bem como a imediata execução das emendas relacionadas a este âmbito e, ainda, conferir celeridade às emendas de bancada nessas condições.;;Lucas Redecker;RS;PSDB;18/03/2020;Aguardando Remessa ao Arquivo;/proposicoesWeb/fichadetramitacao?idProposicao=2239621
INC 61/2020;Sugere a isenção do Imposto de Importação (II), incidente sobre a comercialização de dispositivos protéticos necessários à reabilitação de pessoas amputadas.;;Gilson Marques;SC;NOVO;19/02/2020;Aguardando Resposta;/proposicoesWeb/fichadetramitacao?idProposicao=2237916
