Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PEC 196/2016;Dá nova redação ao inciso XVIII do art. 7º da Constituição Federal, para dispor sobre a licença-maternidade.;Estabelece que tanto a mãe biológica quanto a mãe adotiva de múltiplos tem o direito de ampliar em 30 (trinta) dias a licença maternidade para cada filho nascido vivo ou adotado além do primeiro.;Efraim Filho;PB;DEM;22/03/2016;"Tramitando em Conjunto;Tramitando em Conjunto";/proposicoesWeb/fichadetramitacao?idProposicao=2080196
PL 1333/2020;Tipifica a discriminação ou preconceito em razão da filiação civil, alterando a Lei nº 8.069, de 13 de julho de 1990, Estatuto da Criança e do Adolescente.;;Lincoln Portela;MG;PL;31/03/2020;Aguardando Autorização do Despacho;/proposicoesWeb/fichadetramitacao?idProposicao=2242531
PL 7591/2017;Acrescenta parágrafo único ao art. 1.798 da Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), para conferir capacidade para suceder aos concebidos com o auxílio de técnica de reprodução assistida após a abertura da sucessão.;;Carlos Bezerra;MT;PMDB;10/05/2017;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2136486
PL 3977/2012;Dispõe sobre o acesso às técnicas de preservação de gametas e Reprodução Assistida aos pacientes em idade reprodutiva submetidos a tratamento de câncer.;;Lael Varella;MG;DEM;30/05/2012;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=546435
VTS 1 CCJC => PL 3875/2012;Altera os arts. 1.557, 1.559 e 1.560 da Lei nº 10.406, de 10 de janeiro de 2002 - Código Civil, estabelecendo nova hipótese para a anulação do casamento.;;Chico Alencar;RJ;PSOL;29/05/2018;;/proposicoesWeb/fichadetramitacao?idProposicao=2176921
PRL 2 CSSF => PL 5730/2009;Parecer do Relator, Dep. Danilo Forte (PMDB-CE), pela aprovação.;;Danilo Forte;CE;PMDB;16/06/2011;;/proposicoesWeb/fichadetramitacao?idProposicao=509567
PRL 1 CSSF => PDC 1359/2013;Parecer do Relator, Dep. Dr. Rosinha (PT-PR), pela rejeição.;;Dr. Rosinha;PR;PT;06/11/2014;;/proposicoesWeb/fichadetramitacao?idProposicao=737801
VTS 1 CAPADR => PL 1016/2015;Altera a Lei nº 5.550, de 4 de dezembro de 1968, para definir atividades e atribuições profissionais do zootecnista, e dá outras providências.;;"Onyx Lorenzoni;Domingos Sávio";"RS;MG";"DEM;PSDB";18/06/2015;;/proposicoesWeb/fichadetramitacao?idProposicao=1514196
SBT 1 CCJC => PL 7419/2006;SUBSTITUTIVO AO PROJETO DE LEI No 7.419, de 2006 Altera a Lei nº 9.656, de 3 de junho de 1998, que dispõe sobre os planos e seguros privados de assistência à saúde.;;Evandro Gussi;SP;PV;17/11/2015;;/proposicoesWeb/fichadetramitacao?idProposicao=2055397
