Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 7020/2017;Altera o art. 20 da Lei nº 8.036, de 11 de maio de 1990, para permitir a movimentação do saldo da conta vinculada do trabalhador no Fundo de Garantia do Tempo de Serviço - FGTS na hipótese de custeio de tratamento para infertilidade.;;Rogério Peninha Mendonça;SC;PMDB;07/03/2017;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2124638
PL 2893/2019;Revoga o art. 128 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal).;Revoga dispositivo que trata do aborto necessário e do aborto em caso de estupro.;"Chris Tonietto;Filipe Barros";"RJ;PR";"PSL;PSL";15/05/2019;Aguardando Pendências;/proposicoesWeb/fichadetramitacao?idProposicao=2203415
INC 1292/2019;Sugere ao Poder Executivo Federal a reavaliação toxicológica de agrotóxicos, componentes e afins registrados, que especifica, há mais de cinco anos.;;Pedro Uczai;SC;PT;04/09/2019;Aguardando Remessa ao Arquivo;/proposicoesWeb/fichadetramitacao?idProposicao=2218797
REL 1/2019 SUBMULH;Relatório da Subcomissão Especial de Seguridade da Mulher na Comissão de Seguridade Social e Família.;;Marília Arraes;PE;PT;05/11/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2228353
PL 7591/2017;Acrescenta parágrafo único ao art. 1.798 da Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), para conferir capacidade para suceder aos concebidos com o auxílio de técnica de reprodução assistida após a abertura da sucessão.;;Carlos Bezerra;MT;PMDB;10/05/2017;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2136486
PL 3977/2012;Dispõe sobre o acesso às técnicas de preservação de gametas e Reprodução Assistida aos pacientes em idade reprodutiva submetidos a tratamento de câncer.;;Lael Varella;MG;DEM;30/05/2012;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=546435
PRL 4 CSSF => PL 6022/2013;Parecer do Relator, Dep. Jorge Solla (PT-BA), pela aprovação deste, e dos PLs 8.931/2017, 2.398/2019, 2.916/2019, e 1.590/2019, apensados, com substitutivo, e pela rejeição dos PLs 6.033/2013, 6.061/2013, e 6.055/2013, apensados e das Emendas 1, 2 e 3.;;Jorge Solla;BA;PT;24/10/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2227081
REQ 311/2019 CSSF;Requer a aprovação de visita técnica dos membros da subcomissão Permanente de saúde à Comissão Nacional de Ética em Pesquisa- CONEP;;Carmen Zanotto;SC;CIDADANIA;01/10/2019;Aguardando Providências Internas;/proposicoesWeb/fichadetramitacao?idProposicao=2222711
