Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 5474/2019;Dispõe sobre a oferta de absorventes higiênicos em unidades da rede de atenção primária à saúde.;;Marília Arraes;PE;PT;09/10/2019;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2224730
PL 3050/2011;Altera o §2º do art. 10 da Lei 9.263, de 12 de janeiro de 1996, que trata do planejamento familiar, de forma a permitir a realização da laqueadura tubárea nos períodos de parto ou aborto em caso de cesária anterior.;;Aguinaldo Ribeiro;PB;PP;21/12/2011;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=533044
RIC 1589/2019;Solicita informações ao Senhor Luiz Henrique Mandetta, Ministro da Saúde, sobre o estado brasileiro atual da prevenção e atenção à depressão pós-parto.;;Julio Cesar Ribeiro;DF;REPUBLIC;05/11/2019;"Aguardando Remessa ao Arquivo;Aguardando Deliberação";/proposicoesWeb/fichadetramitacao?idProposicao=2228128
PL 7633/2014;Dispõe sobre a humanização da assistência à mulher e ao neonato durante o ciclo gravídico-puerperal e dá outras providências.;;Jean Wyllys;RJ;PSOL;29/05/2014;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=617546
INC 626/2020;"Envia Indicação ao Sr. Ministro da Saúde, sugerindo a revogação da NOTA TÉCNICA Nº 16/2020 -COSMU/CGCIVI/DAPES/SAPS/MS, que trata do ""acesso à saúde sexual e saúde reprodutiva no contexto da pandemia da COVID-19"".";;Chris Tonietto;RJ;PSL;03/06/2020;Aguardando Resposta;/proposicoesWeb/fichadetramitacao?idProposicao=2254491
REQ 1469/2020;Requer o comparecimento do Sr. Eduardo Pazuello, Ministro interino da Saúde, para prestar esclarecimentos acerca dos motivos da exoneração do corpo técnico da Coordenação de Saúde das Mulheres, da Coordenação-Geral de Ciclos da Vida e da revogação da nota técnica 16/2020 .COSMU/CGCIVI/DAPES/SAPS/MS, que visava garantir o acesso à saúde sexual e saúde reprodutiva em tempos da pandemia da COVID-19.;;"Fernanda Melchionna ;Edmilson Rodrigues ;Sâmia Bomfim ;David Miranda ;Áurea Carolina ;Ivan Valente ;Marcelo Freixo ;Luiza Erundina ;Glauber Braga";"RS;PA;SP;RJ;MG;SP;RJ;SP;RJ";"PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL";08/06/2020;Aguardando Despacho do Presidente da Câmara dos Deputados;/proposicoesWeb/fichadetramitacao?idProposicao=2254773
INC 774/2019;Sugere o aperfeiçoamento de ações de atenção a mulheres portadoras de endometriose.;;Maria Rosas;SP;PRB;29/05/2019;Aguardando Remessa ao Arquivo;/proposicoesWeb/fichadetramitacao?idProposicao=2205404
PL 119/2019;"Inclui a alínea ""e"" no inciso I no art. 6º da Lei nº 8.080, de 19 de setembro de 1990, para ampliar a atuação do Sistema Único de Saúde na saúde integral da Mulher.";Amplia a atuação do SUS na saúde integral da Mulher.;Renata Abreu;SP;PODE;04/02/2019;Aguardando Designação de Relator;/proposicoesWeb/fichadetramitacao?idProposicao=2190579
