Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PDL 251/2020;"Susta os efeitos da Nota Técnica nº 16/2020- COSMU/CGCIVI/DAPES/SAPS/MS, do Ministério da Saúde, a qual tem como referência o ""acesso à saúde sexual e saúde reprodutiva no contexto da pandemia da COVID-19"".";;Dr. Jaziel;CE;PL;04/06/2020;Aguardando Autorização Devolução;/proposicoesWeb/fichadetramitacao?idProposicao=2254498
EMP 3 => PL 1444/2020;Supressão do inciso II do art. 5°-D da Lei nº 13.979, de 6 de fevereiro de 2020, dado pelo Substitutivo ao Projeto de Lei n° 1.444, de 2020.;;Eli Borges;TO;SOLIDARI;25/06/2020;;/proposicoesWeb/fichadetramitacao?idProposicao=2256228
REQ 1469/2020;Requer o comparecimento do Sr. Eduardo Pazuello, Ministro interino da Saúde, para prestar esclarecimentos acerca dos motivos da exoneração do corpo técnico da Coordenação de Saúde das Mulheres, da Coordenação-Geral de Ciclos da Vida e da revogação da nota técnica 16/2020 .COSMU/CGCIVI/DAPES/SAPS/MS, que visava garantir o acesso à saúde sexual e saúde reprodutiva em tempos da pandemia da COVID-19.;;"Fernanda Melchionna ;Edmilson Rodrigues ;Sâmia Bomfim ;David Miranda ;Áurea Carolina ;Ivan Valente ;Marcelo Freixo ;Luiza Erundina ;Glauber Braga";"RS;PA;SP;RJ;MG;SP;RJ;SP;RJ";"PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL";08/06/2020;Aguardando Despacho do Presidente da Câmara dos Deputados;/proposicoesWeb/fichadetramitacao?idProposicao=2254773
PL 6428/2019;Institui o Concerto Nacional de Estudos e Pesquisas em Violência contra meninas e mulheres no âmbito do Ministério da Mulher, da Família e dos Direitos Humanos, e dá outras providências.;;Margarete Coelho;PI;PP;11/12/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2233852
PRL 1 CSSF => PL 885/2015;Parecer da Relatora, Dep. Flávia Morais (PDT-GO), pela aprovação deste, e da Emenda Adotada pela Comissão de Educação.;;Flávia Morais;GO;PDT;05/12/2019;;/proposicoesWeb/fichadetramitacao?idProposicao=2232404
PL 4345/2016;CRIA OS CENTROS PARA TRATAMENTO DE DOENÇAS RARAS EM TODOS OS ESTADOS DA FEDERAÇÃO E DÁ OUTRAS PROVIDÊNCIAS.;;Atila A. Nunes;RJ;PSL;04/02/2016;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=2076932
INC 1156/2019;Sugere a adoção de providências relativas às ações de Saúde Pública visando o incremento de divulgação da Política Nacional de Atenção Integral da Saúde do Homem.;;Enéias Reis;MG;PSL;14/08/2019;Aguardando Resposta;/proposicoesWeb/fichadetramitacao?idProposicao=2215212
REQ 132/2019 CTASP;"Requer a aprovação de convite ao Ministro das Relações Exteriores para participar de Audiência neste Colegiado a fim de prestar esclarecimentos sobre a decisão do governo de classificar como sigilosos documentos que tratam da posição do Brasil sobre ""igualdade de gênero"" no âmbito da Organização das Nações Unidas (ONU).";;Erika Kokay;DF;PT;30/09/2019;Aguardando Providências Internas;/proposicoesWeb/fichadetramitacao?idProposicao=2222458
