Câmara dos Deputados;;;;;;;;
"Relatório de Proposições
Resultado da Pesquisa";;;;;;;;
Proposições;Ementa;Explicação ;Autor;UF;Partido;Apresentaç;Situação;Link 
PL 1484/2019;Determina que empresas de direito público, no âmbito federal, ao patrocinarem clubes de futebol, destinem 5% do valor do patrocínio para ser utilizado em prol do futebol feminino.;;Heitor Schuch;RS;PSB;14/03/2019;Aguardando Parecer;/proposicoesWeb/fichadetramitacao?idProposicao=2193947
PL 166/2011;Dispõe sobre a criação de Casas Apoio destinadas ao atendimento de adolescentes grávidas.;;"Weliton Prado;Ricardo Izar";"MG;SP";"PT;PP";07/02/2011;Aguardando Designação de Relator;/proposicoesWeb/fichadetramitacao?idProposicao=491186
RIC 42/2020;Requer à Ministra de Estado da Mulher, da Família e dos Direitos Humanos, informações sobre os gastos com a campanha pela abstinência sexual.;;Alexandre Padilha;SP;PT;05/02/2020;"Aguardando Remessa ao Arquivo;Aguardando Deliberação";/proposicoesWeb/fichadetramitacao?idProposicao=2236628
RIC 6/2020;Requer ao Ministro do Turismo, o Sr. Marcelo Álvaro Antonio, cópia das atas de reunião da comissão julgadora do edital (BRDE/FSA PRODAV - TVS PÚBLICAS - 2018) para custear séries para TVs públicas, cujo resultado foi divulgado no último dia 21 de janeiro.;;Áurea Carolina;MG;PSOL;28/01/2020;"Aguardando Remessa ao Arquivo;Aguardando Deliberação";/proposicoesWeb/fichadetramitacao?idProposicao=2236249
RIC 113/2020;"Solicita à Ministra de Estado da Mulher, da Família e dos Direitos Humanos esclarecimentos acerca da campanha ""Adolescência primeiro, gravidez depois - tudo tem o seu tempo"".";;Sâmia Bomfim;SP;PSOL;17/02/2020;"Aguardando Remessa ao Arquivo;Aguardando Deliberação";/proposicoesWeb/fichadetramitacao?idProposicao=2237605
PL 7633/2014;Dispõe sobre a humanização da assistência à mulher e ao neonato durante o ciclo gravídico-puerperal e dá outras providências.;;Jean Wyllys;RJ;PSOL;29/05/2014;Tramitando em Conjunto;/proposicoesWeb/fichadetramitacao?idProposicao=617546
PL 3396/2020;Estabelece o sexo biológico como o único critério para definir o gênero dos atletas em competições organizadas pelas entidades de administração do desporto no Brasil;;"Bia Kicis ;Dra. Soraya Manato ;Paula Belmonte ;Alê Silva ;Mara Rocha ;Lauriete ;Aline Sleutjes ;Major Fabiana";"DF;ES;DF;MG;AC;ES;PR;RJ";"PSL;PSL;CIDADANIA;PSL;PSDB;PL;PSL;PSL";18/06/2020;Aguardando Despacho do Presidente da Câmara dos Deputados;/proposicoesWeb/fichadetramitacao?idProposicao=2255565
REQ 1469/2020;Requer o comparecimento do Sr. Eduardo Pazuello, Ministro interino da Saúde, para prestar esclarecimentos acerca dos motivos da exoneração do corpo técnico da Coordenação de Saúde das Mulheres, da Coordenação-Geral de Ciclos da Vida e da revogação da nota técnica 16/2020 .COSMU/CGCIVI/DAPES/SAPS/MS, que visava garantir o acesso à saúde sexual e saúde reprodutiva em tempos da pandemia da COVID-19.;;"Fernanda Melchionna ;Edmilson Rodrigues ;Sâmia Bomfim ;David Miranda ;Áurea Carolina ;Ivan Valente ;Marcelo Freixo ;Luiza Erundina ;Glauber Braga";"RS;PA;SP;RJ;MG;SP;RJ;SP;RJ";"PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL;PSOL";08/06/2020;Aguardando Despacho do Presidente da Câmara dos Deputados;/proposicoesWeb/fichadetramitacao?idProposicao=2254773
