;Proposições;Autor;Apresentaç
0;PL 3105/2015;Christiane de Souza Yared - PTN/PR;23/09/2015
1;PL 4569/2016;Hildo Rocha - PMDB/MA;29/02/2016
2;PL 6436/2016;Vitor Valim - PMDB/CE;08/11/2016
3;PL 6789/2013;"Jerônimo Goergen - PP/RS; Carlos Brandão - PSDB/MA; Plínio Valério - PSDB/AM e outros";20/11/2013
4;PL 7350/2017;"Lúcio Vale - PR/PA; Cristiane Brasil - PTB/RJ; Capitão Augusto - PR/SP e outros";06/04/2017
5;PL 3266/2020;Bibo Nunes - PSL/RS;10/06/2020
6;PL 7843/2017;"Alessandro Molon - REDE/RJ; Professor Israel Batista - PV/DF; Mariana Carvalho - PSDB/RO e outros";12/06/2017
7;PL 3311/2020;"Alexandre Padilha - PT/SP; Leonardo Monteiro - PT/MG; Valmir Assunção - PT/BA e outros";15/06/2020
8;PL 3315/2020;Luiz Philippe de Orleans e Bragança - PSL/SP;15/06/2020
9;PL 3496/2020;Rejane Dias - PT/PI;24/06/2020
10;PL 3504/2020;Capitão Alberto Neto - REPUBLIC/AM;25/06/2020
11;PL 3137/2020;Aline Gurgel - REPUBLIC/AP;04/06/2020
12;PL 3156/2020;Enéias Reis - PSL/MG;05/06/2020
13;PL 3181/2020;Marreca Filho - PATRIOTA/MA;08/06/2020
14;PL 3262/2020;Eduardo da Fonte - PP/PE;10/06/2020
15;PL 3333/2020;Ricardo Barros - PP/PR;16/06/2020
16;PL 2898/2020;Alexandre Frota - PSDB/SP;26/05/2020
17;PL 5259/2013;Eleuses Paiva - PSD/SP;27/03/2013
18;PL 10609/2018;Adail Carneiro - PODE/CE;11/07/2018
19;PL 2060/2020;Joice Hasselmann - PSL/SP;22/04/2020
20;PL 3391/2019;Fábio Faria - PSD/RN;06/06/2019
21;PL 1723/2020;Nivaldo Albuquerque - PTB/AL;08/04/2020
22;PLP 102/2020;"Renildo Calheiros - PCdoB/PE; Jandira Feghali - PCdoB/RJ; Perpétua Almeida - PCdoB/AC";17/04/2020
23;PL 2726/2020;"Alexandre Padilha - PT/SP; Enio Verri - PT/PR; Professora Rosa Neide - PT/MT e outros";18/05/2020
24;PL 4797/2019;Professor Israel Batista - PV/DF;03/09/2019
25;PL 6594/2016;Tia Eron - PRB/BA;30/11/2016
26;PL 1374/2015;Goulart - PSD/SP;05/05/2015
27;PL 2970/2020;"General Peternelli - PSL/SP; Carmen Zanotto - CIDADANIA/SC; General Girão - PSL/RN e outros";28/05/2020
28;PL 2809/2020;"Antonio Brito - PSD/BA; Dr. Luiz Antonio Teixeira Jr. - PP/RJ; Carmen Zanotto - CIDADANIA/SC";21/05/2020
29;PL 130/2019;Renata Abreu - PODE/SP;04/02/2019
30;PL 2517/2019;Felipe Carreras - PSB/PE;24/04/2019
31;PL 4369/2019;Edna Henrique - PSDB/PB;08/08/2019
32;PL 1190/2015;Domingos Neto - PROS/CE;16/04/2015
33;PL 4351/2019;Dra. Soraya Manato - PSL/ES;08/08/2019
34;PL 4870/2019;Rejane Dias - PT/PI;04/09/2019
35;PL 9474/2018;Chico D'Angelo - PT/RJ;06/02/2018
36;PL 8734/2017;Eros Biondini - PROS/MG;02/10/2017
37;PL 10993/2018;Carlos Henrique Gaguim - DEM/TO;20/11/2018
38;PL 43/2019;Fred Costa - PATRI/MG;04/02/2019
39;PL 5272/2019;Carlos Henrique Gaguim - DEM/TO;30/09/2019
40;PL 8750/2017;Carlos Henrique Gaguim - PODE/TO;03/10/2017
41;PL 7972/2017;Jean Wyllys - PSOL/RJ;28/06/2017
42;PL 8547/2017;Laudivio Carvalho - SD/MG;12/09/2017
43;PL 3684/2015;Edinho Bez - PMDB/SC;18/11/2015
44;PL 470/2015;Laerte Rodrigues de Bessa - PR/DF;25/02/2015
45;PLP 48/2011;Dr. Aluizio - PV/RJ;05/05/2011
46;PLP 294/2016;Moses Rodrigues - PMDB/CE;21/06/2016
47;PLP 103/2020;João Daniel - PT/SE;17/04/2020
48;PL 3389/2020;Paula Belmonte - CIDADANIA/DF;17/06/2020
49;PL 3035/2020;Alexandre Frota - PSDB/SP;01/06/2020
50;PL 3032/2020;Alexandre Frota - PSDB/SP;01/06/2020
51;PL 658/2020;Helder Salomão - PT/ES;17/03/2020
52;PL 3039/2020;Alexandre Frota - PSDB/SP;01/06/2020
53;PL 3118/2020;Jéssica Sales - MDB/AC;03/06/2020
54;PL 3219/2020;David Soares - DEM/SP;09/06/2020
55;PL 3406/2020;Weliton Prado - PROS/MG;18/06/2020
56;PL 1459/2015;Flávia Morais - PDT/GO;07/05/2015
57;PL 4841/2012;Alberto Filho - PMDB/MA;12/12/2012
58;PL 2499/2019;Rejane Dias - PT/PI;24/04/2019
59;PL 5857/2019;Fábio Trad - PSD/MS;05/11/2019
60;PLP 479/2018;Odorico Monteiro - PSB/CE;07/03/2018
61;PL 10778/2018;Cabo Daciolo - PATRI/RJ;04/09/2018
62;PL 5084/2019;Julian Lemos - PSL/PB;17/09/2019
63;PL 4565/2019;Alexandre Padilha - PT/SP;20/08/2019
64;PL 470/2020;Chico D'Angelo - PDT/RJ;03/03/2020
65;PL 5625/2019;Lourival Gomes - PSL/RJ;23/10/2019
66;PL 11228/2018;Carlos Henrique Gaguim - DEM/TO;19/12/2018
67;PL 187/2019;Igor Timo - PODE/MG;04/02/2019
68;PL 2877/2020;Otto Alencar Filho - PSD/BA;25/05/2020
69;PL 1397/2020;Hugo Leal - PSD/RJ;01/04/2020
70;PL 1883/2020;Ricardo Silva - PSB/SP;14/04/2020
71;PL 6238/2019;Celso Russomanno - REPUBLIC/SP;28/11/2019
72;PL 6106/2019;Célio Studart - PV/CE;20/11/2019
73;PL 3302/2015;Pedro Cunha Lima - PSDB/PB;14/10/2015
