;Proposições;Autor;Apresentaç
0;PL 3248/2020;André Figueiredo - PDT/CE;10/06/2020
1;PL 2011/2020;Pompeo de Mattos - PDT/RS;17/04/2020
2;PL 3216/2020;Eduardo da Fonte - PP/PE;09/06/2020
3;PL 2769/2020;Pompeo de Mattos - PDT/RS;20/05/2020
4;PL 2777/2020;Luis Miranda - DEM/DF;20/05/2020
5;PL 2785/2020;"Aliel Machado - PSB/PR; Alessandro Molon - PSB/RJ; Danilo Cabral - PSB/PE e outros";20/05/2020
6;PL 1748/2020;Francisco Jr. - PSD/GO;09/04/2020
7;PL 1766/2020;Pastor Sargento Isidório - AVANTE/BA;09/04/2020
8;PL 2066/2020;Tiago Dimas - SOLIDARI/TO;22/04/2020
9;PL 2591/2020;Reginaldo Lopes - PT/MG;12/05/2020
10;PL 7525/2017;Cleber Verde - PRB/MA;27/04/2017
11;PL 6436/2016;Vitor Valim - PMDB/CE;08/11/2016
12;PL 1502/2020;Coronel Tadeu - PSL/SP;03/04/2020
13;PL 6102/2013;Onyx Lorenzoni - DEM/RS;14/08/2013
14;PL 7843/2017;"Alessandro Molon - REDE/RJ; Professor Israel Batista - PV/DF; Mariana Carvalho - PSDB/RO e outros";12/06/2017
15;PL 601/2020;Joice Hasselmann - PSL/SP;11/03/2020
16;PL 2045/2011;Penna - PV/SP;17/08/2011
17;PL 3280/2020;Capitão Alberto Neto - REPUBLIC/AM;15/06/2020
18;PL 3311/2020;"Alexandre Padilha - PT/SP; Leonardo Monteiro - PT/MG; Valmir Assunção - PT/BA e outros";15/06/2020
19;PL 3315/2020;Luiz Philippe de Orleans e Bragança - PSL/SP;15/06/2020
20;PL 3496/2020;Rejane Dias - PT/PI;24/06/2020
21;PL 3504/2020;Capitão Alberto Neto - REPUBLIC/AM;25/06/2020
22;PL 3513/2020;Ricardo Silva - PSB/SP;26/06/2020
23;PL 3523/2020;Lucas Vergilio - SOLIDARI/GO;26/06/2020
24;PL 3577/2020;Márcio Jerry - PCdoB/MA;01/07/2020
25;PL 3588/2020;Alexandre Padilha - PT/SP;01/07/2020
26;PL 852/2020;Kim Kataguiri - DEM/SP;23/03/2020
27;PL 3085/2020;Pompeo de Mattos - PDT/RS;02/06/2020
28;PL 3137/2020;Aline Gurgel - REPUBLIC/AP;04/06/2020
29;PL 3155/2020;João Marcelo Souza - MDB/MA;05/06/2020
30;PL 3156/2020;Enéias Reis - PSL/MG;05/06/2020
31;PL 3209/2020;Emanuel Pinheiro Neto - PTB/MT;09/06/2020
32;PL 3299/2020;Alexandre Frota - PSDB/SP;15/06/2020
33;PL 664/2020;André Janones - AVANTE/MG;17/03/2020
34;PL 887/2020;Clarissa Garotinho - PROS/RJ;23/03/2020
35;PL 1029/2020;Miguel Lombardi - PL/SP;25/03/2020
36;PL 3348/2020;Rubens Otoni - PT/GO;16/06/2020
37;PL 3366/2020;Chico D'Angelo - PDT/RJ;17/06/2020
38;PL 3333/2020;Ricardo Barros - PP/PR;16/06/2020
39;PL 2318/2020;Assis Carvalho - PT/PI;30/04/2020
40;PL 1297/2020;André Janones - AVANTE/MG;31/03/2020
41;PL 1103/2020;Elias Vaz - PSB/GO;26/03/2020
42;PL 1378/2020;Rejane Dias - PT/PI;01/04/2020
43;PL 1339/2020;Alexandre Frota - PSDB/SP;31/03/2020
44;PL 6061/2013;Hugo Leal - PSC/RJ;08/08/2013
45;PL 6101/2013;Onyx Lorenzoni - DEM/RS;14/08/2013
46;PL 1019/2020;Léo Motta - PSL/MG;25/03/2020
47;PL 2001/2020;Hildo Rocha - MDB/MA;17/04/2020
48;PL 809/2020;Sebastião Oliveira - PL/PE;23/03/2020
49;PL 2889/2020;Luiza Erundina - PSOL/SP;26/05/2020
50;PL 8148/2014;"Julio Lopes - PP/RJ;Paulo Abi-Ackel - PSDB/MG";26/11/2014
51;PL 1225/2020;Alexandre Frota - PSDB/SP;30/03/2020
52;PL 3311/2015;Bruno Covas - PSDB/SP;14/10/2015
53;PL 6069/2016;Mauro Lopes - PMDB/MG;30/08/2016
54;PL 6791/2017;Subtenente Gonzaga - PDT/MG;02/02/2017
55;PL 10609/2018;Adail Carneiro - PODE/CE;11/07/2018
56;PL 2060/2020;Joice Hasselmann - PSL/SP;22/04/2020
57;PL 1492/2020;Fábio Faria - PSD/RN;02/04/2020
58;PL 1968/2020;Pedro Augusto Bezerra - PTB/CE;16/04/2020
59;PL 734/2020;Alexandre Frota - PSDB/SP;18/03/2020
60;PL 1765/2015;Veneziano Vital do Rêgo - PMDB/PB;01/06/2015
61;PL 3649/2019;Carmen Zanotto - CIDADANIA/SC;19/06/2019
62;PL 5509/2019;Fábio Henrique - PDT/SE;15/10/2019
63;PL 3614/2015;Onyx Lorenzoni - DEM/RS;11/11/2015
64;PL 1263/2020;Júnior Mano - PL/CE;30/03/2020
65;PL 1105/2020;"Dra. Soraya Manato - PSL/ES; Mariana Carvalho - PSDB/RO; Jorge Solla - PT/BA e outros";26/03/2020
66;PL 1858/2020;Julio Cesar Ribeiro - REPUBLIC/DF;14/04/2020
67;PL 1723/2020;Nivaldo Albuquerque - PTB/AL;08/04/2020
68;PLP 102/2020;"Renildo Calheiros - PCdoB/PE; Jandira Feghali - PCdoB/RJ; Perpétua Almeida - PCdoB/AC";17/04/2020
69;PL 2726/2020;"Alexandre Padilha - PT/SP; Enio Verri - PT/PR; Professora Rosa Neide - PT/MT e outros";18/05/2020
70;PL 2506/2020;Jerônimo Goergen - PP/RS;08/05/2020
71;PL 4797/2019;Professor Israel Batista - PV/DF;03/09/2019
72;PL 1622/2020;"Carmen Zanotto - CIDADANIA/SC; Mariana Carvalho - PSDB/RO; Jorge Solla - PT/BA e outros";06/04/2020
73;PL 2151/2020;"Felipe Rigoni - PSB/ES; Tabata Amaral - PDT/SP; Camilo Capiberibe - PSB/AP";23/04/2020
74;PL 3064/2015;Moroni Torgan - DEM/CE;22/09/2015
75;PL 6594/2016;Tia Eron - PRB/BA;30/11/2016
76;PL 2963/2020;André de Paula - PSD/PE;28/05/2020
77;PL 2970/2020;"General Peternelli - PSL/SP; Carmen Zanotto - CIDADANIA/SC; General Girão - PSL/RN e outros";28/05/2020
78;PL 2466/2019;Leandre - PV/PR;23/04/2019
79;PL 2736/2020;Reginaldo Lopes - PT/MG;18/05/2020
80;PL 2809/2020;"Antonio Brito - PSD/BA; Dr. Luiz Antonio Teixeira Jr. - PP/RJ; Carmen Zanotto - CIDADANIA/SC";21/05/2020
81;PL 1665/2020;"Ivan Valente - PSOL/SP; Luiza Erundina - PSOL/SP; Marcelo Freixo - PSOL/RJ e outros";07/04/2020
82;PL 2165/2019;Nereu Crispim - PSL/RS;09/04/2019
83;PL 5712/2016;Delegado Waldir - PR/GO;05/07/2016
84;PL 1239/2015;Marcos Rotta - PMDB/AM;23/04/2015
85;PL 732/2019;Alessandro Molon - PSB/RJ;13/02/2019
86;PL 1975/2020;"Natália Bonavides - PT/RN; Professora Rosa Neide - PT/MT; André Janones - AVANTE/MG";16/04/2020
87;PL 4770/2019;Dra. Soraya Manato - PSL/ES;29/08/2019
88;PL 4369/2019;Edna Henrique - PSDB/PB;08/08/2019
89;PL 3794/2015;Ronaldo Carletto - PP/BA;01/12/2015
90;PL 4461/2019;Lincoln Portela - PL/MG;14/08/2019
91;PL 4463/2019;Lincoln Portela - PL/MG;14/08/2019
92;PL 1190/2015;Domingos Neto - PROS/CE;16/04/2015
93;PL 706/2019;Célio Studart - PV/CE;13/02/2019
94;PL 4351/2019;Dra. Soraya Manato - PSL/ES;08/08/2019
95;PL 6077/2019;Rafael Motta - PSB/RN;20/11/2019
96;PL 3180/2015;Marcelo Belinati - PP/PR;01/10/2015
97;PLP 17/2015;Ronaldo Carletto - PP/BA;26/02/2015
98;PL 9474/2018;Chico D'Angelo - PT/RJ;06/02/2018
99;PLP 145/2020;Carlos Veras - PT/PE;29/05/2020
100;PLP 137/2020;"Mauro Benevides Filho - PDT/CE;André Figueiredo - PDT/CE";26/05/2020
101;PL 2385/2020;Coronel Tadeu - PSL/SP;04/05/2020
102;PL 2297/2020;Fred Costa - PATRIOTA/MG;29/04/2020
103;PL 1100/2020;José Nelto - PODE/GO;26/03/2020
104;PL 1031/2020;"José Guimarães - PT/CE; Fernanda Melchionna - PSOL/RS; Enio Verri - PT/PR e outros";25/03/2020
105;PL 1375/2020;Erika Kokay - PT/DF;01/04/2020
106;PL 698/2020;"Fernanda Melchionna - PSOL/RS; Glauber Braga - PSOL/RJ; Marcelo Freixo - PSOL/RJ e outros";18/03/2020
107;PL 931/2020;"Valmir Assunção - PT/BA;Professora Rosa Neide - PT/MT";24/03/2020
108;PL 2495/2020;Marina Santos - SOLIDARI/PI;08/05/2020
109;PL 1832/2020;Eduardo Barbosa - PSDB/MG;13/04/2020
110;PL 1719/2020;José Nelto - PODE/GO;08/04/2020
111;PL 2831/2020;Pastor Sargento Isidório - AVANTE/BA;21/05/2020
112;PL 3014/2020;Ronaldo Carletto - PP/BA;01/06/2020
113;PL 1847/2020;Vicentinho - PT/SP;14/04/2020
114;PL 1576/2020;Júlio Delgado - PSB/MG;06/04/2020
115;PL 2486/2020;Pastor Sargento Isidório - AVANTE/BA;08/05/2020
116;PL 3047/2020;Rejane Dias - PT/PI;02/06/2020
117;PL 3806/2015;Christiane de Souza Yared - PTN/PR;01/12/2015
118;PL 2952/2020;Rodrigo Coelho - PSB/SC;27/05/2020
119;PL 6749/2016;Goulart - PSD/SP;15/12/2016
200;PL 3291/2020;Vitor Hugo - PSL/GO;15/06/2020
201;PL 3498/2020;Delegado Waldir - PSL/GO;24/06/2020
202;PL 3500/2020;Felipe Carreras - PSB/PE;25/06/2020
203;PL 3522/2020;Lucas Vergilio - SOLIDARI/GO;26/06/2020
204;PL 3586/2020;Expedito Netto - PSD/RO;01/07/2020
205;PL 855/2020;Kim Kataguiri - DEM/SP;23/03/2020
206;PL 939/2020;Reginaldo Lopes - PT/MG;24/03/2020
207;PL 3080/2020;Alexandre Frota - PSDB/SP;02/06/2020
208;PL 3135/2020;Fábio Trad - PSD/MS;04/06/2020
209;PL 3186/2020;"Adriana Ventura - NOVO/SP; Alexis Fonteyne - NOVO/SP; Vinicius Poit - NOVO/SP e outros";08/06/2020
210;PL 3300/2020;Alexandre Frota - PSDB/SP;15/06/2020
211;PL 983/2020;"Clarissa Garotinho - PROS/RJ;Coronel Tadeu - PSL/SP";25/03/2020
212;PL 1002/2020;Pompeo de Mattos - PDT/RS;25/03/2020
213;PL 3444/2020;"Ricardo Silva - PSB/SP; Mauro Nazif - PSB/RO; Luciano Ducci - PSB/PR e outros";22/06/2020
214;PL 3445/2020;"Ricardo Silva - PSB/SP; Mauro Nazif - PSB/RO; Luciano Ducci - PSB/PR e outros";22/06/2020
215;PL 2664/2020;"Lucas Gonzalez - NOVO/MG;Marcel van Hattem - NOVO/RS";14/05/2020
216;PL 1882/2020;Ricardo Silva - PSB/SP;14/04/2020
217;PL 1899/2020;"Dra. Soraya Manato - PSL/ES; Jorge Solla - PT/BA; Paula Belmonte - CIDADANIA/DF";15/04/2020
218;PL 2496/2020;Luis Miranda - DEM/DF;08/05/2020
219;PL 2131/2020;Dr. Sinval Malheiros - PODE/SP;23/04/2020
220;PL 1329/2020;"Fernanda Melchionna - PSOL/RS; Sâmia Bomfim - PSOL/SP; David Miranda - PSOL/RJ e outros";31/03/2020
221;PL 3361/2020;Wolney Queiroz - PDT/PE;17/06/2020
222;PL 3059/2020;José Nunes - PSD/BA;02/06/2020
223;PL 1844/2020;Pompeo de Mattos - PDT/RS;13/04/2020
224;PL 6726/2016;Senado Federal - Comissão Especial do Extrateto SF;14/12/2016
225;PL 2031/2015;"Julio Lopes - PP/RJ;Paulo Abi-Ackel - PSDB/MG";18/06/2015
226;PL 713/2020;Aliel Machado - PSB/PR;18/03/2020
227;PL 2702/2015;Fabricio Oliveira - PSB/SC;19/08/2015
228;PL 8457/2017;Eduardo Bolsonaro - PSC/SP;04/09/2017
229;PL 10263/2018;Célio Silveira - PSDB/GO;16/05/2018
230;PL 2170/2020;"Bira do Pindaré - PSB/MA; Alessandro Molon - PSB/RJ; Aliel Machado - PSB/PR e outros";24/04/2020
231;PL 806/2020;Giovani Cherini - PL/RS;23/03/2020
232;PL 3123/2012;Alexandre Leite - DEM/SP;06/02/2012
233;PL 2159/2020;Eduardo Braide - PODE/MA;24/04/2020
234;PL 2235/2020;"Carlos Veras - PT/PE; Patrus Ananias - PT/MG; Bira do Pindaré - PSB/MA";28/04/2020
235;PL 2789/2020;Luiz Nishimori - PL/PR;20/05/2020
236;PL 2517/2020;Schiavinato - PP/PR;11/05/2020
237;PL 3249/2020;"Rubens Bueno - CIDADANIA/PR;Carmen Zanotto - CIDADANIA/SC";10/06/2020
238;PL 2779/2020;Professor Israel Batista - PV/DF;20/05/2020
239;PL 942/2020;Dulce Miranda - MDB/TO;24/03/2020
240;PL 1386/2020;Celso Sabino - PSDB/PA;01/04/2020
241;PL 1872/2020;Júlio Delgado - PSB/MG;14/04/2020
242;PL 3151/2020;Eduardo Bismarck - PDT/CE;05/06/2020
243;PL 3443/2019;"Tiago Mitraud - NOVO/MG; Vinicius Poit - NOVO/SP; João H. Campos - PSB/PE e outros";11/06/2019
244;PL 3471/2020;Ricardo Silva - PSB/SP;23/06/2020
245;PL 3560/2020;Ricardo Silva - PSB/SP;30/06/2020
